round_shots,224,174,264,792,108,101,71,83,41
round_queries,224,522,2376,21384,23220,70801,159537,577265,2725147
round_k,1,4,13,107,350,1123,3477,10710,33233
round_shots,130,120,173,110,202,307,90,65,57,7
round_queries,130,360,1557,2970,16362,74601,97290,211185,558771,630357
round_k,1,4,13,40,121,540,1624,4901,14759,45025
round_shots,140,135,130,165,155,555,260,260,69,13
round_queries,140,405,1170,4455,12555,134865,189540,657020,711735,1337843
round_k,1,4,13,40,121,364,1263,5157,16632,51455
round_shots,141,152,145,899,365,98,115,93,91,37
round_queries,141,456,1305,24273,29565,23814,88435,227385,679497,2510487
round_k,1,4,13,40,121,384,1222,3733,11282,33925
round_shots,163,212,134,157,698,142,117,82,208,25
round_queries,163,636,1206,4239,56538,34506,85293,179498,1491984,1721175
round_k,1,4,13,40,121,364,1094,3586,11474,34423
round_shots,160,150,139,218,411,80,79,213,72,3
round_queries,160,450,1251,5886,33291,35280,104675,872235,1019160,425853
round_k,1,4,13,40,220,662,2047,7077,23658,70975
round_shots,157,125,127,168,465,84,85,69,67,3
round_queries,157,375,1143,4536,37665,40740,126055,335823,1005603,413937
round_k,1,4,13,40,242,741,2433,7504,22513,68989
round_shots,135,124,141,162,113,361,261,82,63,15
round_queries,135,372,1269,4374,9153,87723,190269,242802,609021,1369395
round_k,1,4,13,40,121,364,1480,4833,14938,45646
round_shots,149,120,156,770,333,115,106,84,69,13
round_queries,149,360,1404,20790,26973,30935,95506,239484,600921,1033383
round_k,1,4,13,40,134,450,1425,4354,13138,39745
round_shots,171,192,131,224,582,155,88,85,58,37
round_queries,171,576,1179,6048,47142,37665,64152,197285,434478,2519293
round_k,1,4,13,40,121,364,1160,3745,11251,34044
round_shots,141,177,155,230,456,233,256,66,66,20
round_queries,141,531,1395,6210,36936,56619,186624,191862,575850,1611780
round_k,1,4,13,40,121,364,1453,4362,13423,40294
round_shots,173,125,131,211,184,301,100,127,158,7
round_queries,173,375,1179,5697,14904,73143,105100,446151,1800410,753767
round_k,1,4,13,40,121,525,1756,5697,17784,53840
round_shots,168,206,114,407,316,156,90,103,72,17
round_queries,168,618,1026,10989,25596,46020,95310,356071,757656,1629773
round_k,1,4,13,40,147,529,1728,5261,15874,47934
round_shots,152,178,195,182,99,393,216,170,70,23
round_queries,152,534,1755,4914,8019,96285,158760,374850,587650,1901295
round_k,1,4,13,40,122,367,1102,4197,13617,41332
round_shots,160,133,141,300,320,186,139,201,118,4
round_queries,160,399,1269,8100,25920,59706,166383,744705,1311570,426492
round_k,1,4,13,40,160,598,1852,5557,17097,53311
round_shots,205,161,254,322,324,86,74,66,146,12
round_queries,205,483,2286,8694,26244,28638,75258,202026,1346266,1000116
round_k,1,4,13,40,166,508,1530,4610,13831,41671
round_shots,165,122,155,104,692,81,89,66,44
round_queries,165,366,1395,2808,56052,51111,170969,407682,2514380
round_k,1,4,13,40,315,960,3088,9500,28572
round_shots,194,136,115,104,124,653,108,78,37
round_queries,194,408,1035,2808,10044,158679,210060,569946,2569613
round_k,1,4,13,40,121,972,3653,11376,34724
round_shots,162,189,133,406,446,89,75,62,78,5
round_queries,162,567,1197,10962,36126,41741,110475,278938,1054170,622185
round_k,1,4,13,40,234,736,2249,6757,20380,62218
round_shots,170,182,115,226,592,134,82,88,84
round_queries,170,546,1035,6102,47952,76782,165558,581944,5029836
round_k,1,4,13,40,286,1009,3306,9920,29939
round_shots,143,208,204,649,151,91,80,73,135,49
round_queries,143,624,1836,17523,12231,22113,58320,162133,928125,3110961
round_k,1,4,13,40,121,364,1110,3437,10581,31744
round_shots,154,209,122,291,112,288,96,233,70,18
round_queries,154,627,1098,7857,9072,71136,93408,748163,750050,1736946
round_k,1,4,13,40,123,486,1605,5357,16072,48248
round_shots,165,189,190,804,93,79,78,64,53
round_queries,165,567,1710,21708,20367,53799,160602,405696,3133307
round_k,1,4,13,109,340,1029,3169,9598,29559
round_shots,230,138,270,366,685,123,107,67,14
round_queries,230,414,2430,9882,55485,77121,254553,502165,984914
round_k,1,4,13,40,313,1189,3747,11454,35175
round_shots,140,185,167,341,411,176,87,61,67,3
