round_shots,474,359,294,175,93,83,89,98,86
round_queries,474,1077,3234,9275,14973,40753,133411,446782,3659558
round_k,1,5,26,80,245,749,2279,6901,21276
round_queries,522,879,2343,4500,14175,42273,93672,243598,628103,863080
round_k,1,5,22,67,213,650,1964,5925,17819,53942
round_shots,585,440,203,134,286,97,89,71,52,3
round_queries,585,1320,2233,6030,44902,48209,133589,324399,722020,378783
round_k,1,5,22,78,248,750,2284,6942,21017,63130
round_shots,569,440,192,130,95,93,83,65,108,3
round_queries,569,1320,2112,5330,13395,40083,108315,255515,1298484,342855
round_k,1,5,20,70,215,652,1965,6011,18609,57142
round_shots,652,532,203,113,107,90,169,61,52,3
round_queries,652,1596,2233,5085,15301,38610,221897,242597,620412,322137
round_k,1,5,22,71,214,656,1988,5965,17896,53689
round_shots,616,257,118,145,97,96,76,66,60,14
round_queries,616,771,1298,4785,10767,31968,76380,199254,548940,1172990
round_k,1,5,16,55,166,502,1509,4574,13899,41892
round_shots,569,337,168,105,114,96,114,137,79,6
round_queries,569,1011,1848,4305,14478,36768,132354,479911,843957,587166
round_k,1,5,20,63,191,580,1751,5341,16075,48930
round_shots,522,617,267,294,115,90,88,128,197,3
round_queries,522,1851,2937,10290,13455,33750,100408,438912,2072637,302175
round_k,1,5,17,58,187,570,1714,5260,16503,50362
round_shots,402,294,113,130,104,96,77,67,93,17
round_queries,402,882,1243,4290,10296,30240,73381,192089,819981,1359337
round_k,1,5,16,49,157,476,1433,4408,13250,39980
round_shots,621,443,137,123,115,89,76,66,56,4
round_queries,621,1329,1507,4551,13685,33019,85500,223278,570024,374092
round_k,1,5,18,59,185,562,1691,5089,15374,46761
round_shots,662,396,131,157,94,85,78,72,56,12
round_queries,662,1188,1441,5181,10810,29665,81666,229608,539560,1070340
round_k,1,5,16,57,174,523,1594,4817,14723,44597
round_shots,495,371,165,135,206,88,126,87,114,8
round_queries,495,1113,1815,4455,23278,30712,137466,289971,1160178,740936
round_k,1,5,16,56,174,545,1666,5088,15265,46308
round_shots,468,280,146,141,104,140,76,84,54,14
round_queries,468,840,1606,4653,11336,47180,77292,258132,498906,1164114
round_k,1,5,16,54,168,508,1536,4619,13858,41575
round_shots,538,362,156,129,281,94,72,65,81,11
round_queries,538,1086,1716,4773,35125,36942,85896,234065,883791,1082829
round_k,1,5,18,62,196,596,1800,5455,16406,49219
round_shots,352,305,182,143,95,111,81,131,82,5
round_queries,352,915,2002,4719,9595,34077,79461,404397,759402,429815
round_k,1,5,16,50,153,490,1543,4630,14092,42981
round_shots,346,343,151,165,102,97,115,202,81,15
round_queries,346,1029,1661,5445,10302,30167,108445,587214,732483,1246155
round_k,1,5,16,50,155,471,1453,4521,13762,41538
round_shots,334,394,162,130,110,105,115,188,146,9
round_queries,334,1182,1782,4810,12870,38115,127995,630740,1515918,871407
round_k,1,5,18,58,181,556,1677,5191,15964,48411
round_shots,490,546,135,168,99,97,106,69,90,12
round_queries,490,1638,1485,5544,11781,35405,116706,228045,893610,1095612
round_k,1,5,16,59,182,550,1652,4964,15210,45650
round_shots,611,382,225,127,110,88,81,66,68,10
round_queries,611,1146,2475,5715,14850,36168,101331,250338,774996,1061830
round_k,1,5,22,67,205,625,1896,5698,17499,53091
round_shots,678,400,194,130,116,83,115,80,53,6
round_queries,678,1200,2134,5590,16356,36437,151915,319760,643685,671490
round_k,1,5,21,70,219,660,1998,6072,18284,55957
round_shots,538,343,321,131,112,116,117,95,71
round_queries,538,1029,3531,6943,18480,60204,185445,452675,3084595
round_k,1,5,26,82,259,792,2382,7221,21722
round_shots,430,318,131,127,119,122,94,66,57,16
round_queries,430,954,1441,4191,12733,39406,91274,192390,505191,1302576
round_k,1,5,16,53,161,485,1457,4431,13421,40705
round_shots,564,310,108,112,179,160,135,91,109,11
round_queries,564,930,1188,3696,18437,52000,132975,276003,1022311,963765
round_k,1,5,16,51,162,492,1516,4689,14602,43807
round_shots,414,256,215,133,100,113,80,77,58,15
round_queries,414,768,2365,4389,10900,37403,82480,238931,540850,1269915
round_k,1,5,16,54,165,515,1551,4662,14074,42330
round_shots,673,545,162,108,114,88,80,66,55,8
round_queries,673,1635,1782,3996,13110,31768,87280,218790,548845,727832
round_k,1,5,18,57,180,545,1657,4989,15104,45489
round_shots,814,273,136,150,100,104,77,65,57,3
round_queries,814,819,1496,5550,12900,41080,93401,238745,637089,310299
round_k,1,5,18,64,197,606,1836,5588,17018,51716
round_shots,724,524,257,114,105,87,109,67,62,4
round_queries,724,1572,2827,5586,15435,40629,154671,289909,807798,471244
round_k,1,5,24,73,233,709,2163,6514,19572,58905
round_shots,436,244,126,130,100,103,83,120,84,19
round_queries,436,732,1386,4290,9900,31415,76443,332520,704676,1444817
round_k,1,5,16,49,152,460,1385,4194,12648,38021
round_shots,490,399,191,125,111,118,74,66,53,3
round_queries,490,1197,2101,5125,14985,50150,98938,267498,656935,337107
round_k,1,5,20,67,212,668,2026,6197,18639,56184
round_shots,511,382,132,132,99,87,74,75,173,12
round_queries,511,1146,1452,4356,11187,29841,79106,243825,1707683,1136508
round_k,1,5,16,56,171,534,1625,4935,15764,47354
round_shots,611,278,167,129,104,107,74,74,56,3
round_queries,611,834,1837,5289,14248,45903,98642,299478,689304,341439
round_k,1,5,20,68,214,666,2023,6154,18507,56906
round_shots,452,303,112,149,110,87,79,65,56,4
round_queries,452,909,1232,4917,12650,30885,86189,213525,556248,360668
round_k,1,5,16,57,177,545,1642,4966,14969,45083
round_shots,632,343,121,114,107,103,77,68,56,16
round_queries,632,1029,1331,3762,11021,32239,76461,205292,507976,1353360
round_k,1,5,16,51,156,496,1509,4535,13753,42292
round_shots,479,312,113,130,101,95,86,91,65,21
round_queries,479,936,1243,4290,9999,28595,78346,249249,538525,1607571
round_k,1,5,16,49,150,455,1369,4142,12711,38275
round_shots,517,461,143,125,103,94,83,186,165,4
round_queries,517,1383,1573,4125,11021,31866,85407,585342,1621125,375828
round_k,1,5,16,53,169,514,1573,4912,15019,46978
round_shots,447,318,142,135,104,83,84,78,53,3
round_queries,447,954,1562,4995,13416,33283,101388,286650,585385,301587
round_k,1,5,18,64,200,603,1837,5522,16567,50264
round_shots,564,341,138,132,100,92,75,70,87,14
round_queries,564,1023,1518,4356,11100,31004,78825,221270,836853,1251838
round_k,1,5,16,55,168,525,1580,4809,14790,44708
round_shots,718,408,142,198,148,96,126,81,79,3
round_queries,718,1224,1562,7326,17908,37536,150318,293463,869553,303621
round_k,1,5,18,60,195,596,1811,5503,16626,50603
round_shots,408,426,210,133,122,126,80,70,56,3
round_queries,408,1278,2310,5985,19154,59598,115440,312550,760760,369621
round_k,1,5,22,78,236,721,2232,6792,20534,61603
round_shots,479,250,221,136,132,105,90,70,58,5
round_queries,479,750,2431,4488,13860,34755,89550,210070,523914,411705
round_k,1,5,16,52,165,497,1500,4516,13594,41170
round_shots,517,560,267,312,179,103,92,69,207,14
round_queries,517,1680,2937,10920,18795,33887,91724,206793,1891773,1239798
round_k,1,5,17,52,164,498,1498,4569,14714,44278
round_shots,744,528,182,109,112,82,79,87,55,8
round_queries,744,1584,2002,4469,13776,31734,91719,304413,583165,765816
round_k,1,5,20,61,193,580,1749,5301,15954,47863
round_shots,632,357,225,98,104,94,76,103,92,8
round_queries,632,1071,2475,4410,14040,39762,97660,401391,1091212,859592
round_k,1,5,22,67,211,642,1948,5930,17811,53724
round_shots,543,383,162,195,154,83,96,81,73,3
round_queries,543,1149,1782,7215,18634,32453,112992,293463,805117,310071
round_k,1,5,18,60,195,588,1811,5514,16969,51678
round_shots,564,304,177,117,100,200,180,105,109,9
round_queries,564,912,1947,4797,12300,74600,212940,377265,1194531,926541
round_k,1,5,20,61,186,591,1796,5479,16767,51474
round_shots,317,345,151,136,147,99,120,96,55,13
round_queries,317,1035,1661,4488,14847,33759,125640,303840,526295,1128335
round_k,1,5,16,50,170,523,1582,4784,14355,43397
round_shots,245,310,129,120,98,93,76,67,73,16
round_queries,245,930,1419,3960,10094,28737,71364,190213,623931,1236016
round_k,1,5,16,51,154,469,1419,4273,12843,38625
round_shots,506,326,123,134,104,104,81,65,56,7
round_queries,506,978,1353,4422,11544,36088,87723,211835,547736,622811
round_k,1,5,16,55,173,541,1629,4890,14699,44486
round_shots,380,247,221,139,108,96,76,65,60,13
round_queries,380,741,2431,4587,11772,32544,77748,201825,560220,1101477
round_k,1,5,16,54,169,511,1552,4668,14030,42364
round_shots,441,384,176,143,185,91,80,67,62,15
round_queries,441,1152,1936,4719,18685,28119,75600,192089,538470,1218135
round_k,1,5,16,50,154,472,1433,4342,13190,40604
round_shots,647,489,189,143,95,119,164,148,87,9
round_queries,647,1467,2079,5863,11875,44625,189748,521996,942993,883845
round_k,1,5,20,62,187,578,1763,5419,16263,49102
round_shots,397,351,151,128,262,92,75,68,62,9
round_queries,397,1053,1661,4224,27510,30268,76725,211684,583730,794295
round_k,1,5,16,52,164,511,1556,4707,14455,44127
round_shots,495,447,277,129,93,105,81,61,52,3
round_queries,495,1341,3047,6321,14973,50715,119637,276391,711308,373203
round_k,1,5,24,80,241,738,2265,6839,20653,62200
round_shots,564,412,209,118,104,95,179,71,53,3
round_queries,564,1236,2299,5310,15288,44365,255075,306507,697851,381111
round_k,1,5,22,73,233,712,2158,6583,19995,63518
round_shots,652,419,209,130,98,81,87,63,55,4
round_queries,652,1257,2299,5850,15386,40257,131979,288729,764445,504356
round_k,1,5,22,78,248,758,2291,6949,20953,63044
round_shots,447,316,160,131,174,98,75,71,57,11
round_queries,447,948,1760,4323,18966,32634,77025,220029,531867,940797
round_k,1,5,16,54,166,513,1549,4665,14078,42763
round_shots,606,424,186,127,118,255,82,66,63,7
round_queries,606,1272,2046,4191,12862,86445,87002,210870,606627,610407
round_k,1,5,16,54,169,530,1597,4814,14506,43600
round_shots,452,293,204,235,98,88,78,158,53,3
round_queries,452,879,2244,10105,13622,36696,100386,614146,618775,315819
round_k,1,5,21,69,208,643,1943,5837,17534,52636
round_shots,511,411,203,171,96,132,82,64,68,3
round_queries,511,1233,2233,7695,13152,54252,102746,241600,781388,321657
round_k,1,5,22,68,205,626,1887,5745,17677,53609
round_shots,590,339,137,149,119,137,266,210,199,6
round_queries,590,1017,1507,4917,13685,49457,293398,694890,1996965,566514
round_k,1,5,16,57,180,551,1654,5017,15052,47209
round_shots,474,348,112,132,93,84,92,64,58,11
round_queries,474,1044,1232,4356,10323,28308,93380,200000,543750,946275
round_k,1,5,16,55,168,507,1562,4687,14266,43012
round_shots,293,351,191,105,109,91,76,77,73,3
round_queries,293,1053,2101,4305,13843,37037,93860,286671,817089,302817
round_k,1,5,20,63,203,617,1861,5596,16816,50469
round_shots,334,319,167,146,102,90,77,67,56,4
round_queries,334,957,1837,5694,12138,33030,85855,225321,566552,372964
round_k,1,5,19,59,183,557,1681,5058,15506,46620
round_shots,275,412,124,184,113,94,115,123,73,10
round_queries,275,1236,1364,6072,13447,34122,126845,416847,754163,950510
round_k,1,5,16,59,181,551,1694,5165,15795,47525
round_shots,352,419,209,134,229,131,78,65,55,5
round_queries,352,1257,2299,6030,32289,57771,105066,263705,677655,555855
round_k,1,5,22,70,220,673,2028,6160,18528,55585
round_shots,380,244,120,135,103,104,85,67,67,8
round_queries,380,732,1320,4455,11433,36920,94095,224651,674891,732360
round_k,1,5,16,55,177,553,1676,5036,15206,45772
round_shots,425,432,116,196,164,118,93,67,56,10
round_queries,425,1296,1276,6468,17220,39530,100905,220229,552888,899490
round_k,1,5,16,52,167,542,1643,4936,14921,44974
round_shots,374,317,132,140,111,93,75,80,64,12
round_queries,374,951,1452,4620,12321,32643,80175,262160,629312,1092204
round_k,1,5,16,55,175,534,1638,4916,14929,45508
round_shots,397,256,180,128,102,114,77,72,70,5
round_queries,397,768,1980,5248,13566,46398,95865,269784,796530,516745
round_k,1,5,20,66,203,622,1873,5689,17141,51674
round_shots,538,552,118,132,109,187,74,111,60,9
round_queries,538,1656,1298,4356,12099,64889,78070,353757,574620,796203
round_k,1,5,16,55,173,527,1593,4788,14495,44233
round_shots,527,437,108,152,101,97,92,89,118,4
round_queries,527,1311,1188,5016,11615,35211,101660,297527,1183658,372780
round_k,1,5,16,57,181,552,1671,5015,15532,46597
round_shots,490,447,274,131,101,265,73,71,44
round_queries,490,1341,3014,6419,16665,135415,114391,334623,1918268
round_k,1,5,24,82,255,783,2356,7169,21798
round_shots,340,250,188,151,95,99,251,159,94,14
round_queries,340,750,2068,4983,9595,29997,241211,458397,837822,1166886
round_k,1,5,16,50,151,480,1441,4456,13483,41674
round_shots,402,307,132,137,120,95,106,66,84,21
round_queries,402,921,1452,4521,11880,28405,96354,185394,712740,1606143
round_k,1,5,16,49,149,454,1404,4242,12739,38241
round_shots,585,288,162,100,90,90,81,65,55,4
round_queries,585,864,1782,3700,9990,29970,82377,200655,514855,358228
round_k,1,5,18,55,166,508,1543,4680,14063,44778
round_shots,441,412,189,126,115,108,80,77,59,9
round_queries,441,1236,2079,5166,14835,42444,95920,277739,643513,886815
round_k,1,5,20,64,196,599,1803,5453,16422,49267
round_shots,425,359,198,224,150,114,129,87,103,3
round_queries,425,1077,2178,9632,20850,51870,181503,379059,1346519,376959
round_k,1,5,21,69,227,703,2178,6536,19655,62826
round_shots,662,561,118,185,105,88,162,65,75,11
round_queries,662,1683,1298,6105,12915,33352,186462,233805,811575,1079947
round_k,1,5,16,61,189,575,1798,5410,16256,49088
round_shots,522,313,129,179,98,101,80,80,57,12
round_queries,522,939,1419,5907,9898,30603,73200,220560,474981,921756
round_k,1,5,16,50,151,457,1378,4166,12609,38406
round_shots,430,247,137,122,194,154,76,66,77,10
round_queries,430,741,1507,4514,21534,53130,79116,211002,746977,900370
round_k,1,5,18,55,172,520,1598,4850,14848,45018
round_shots,363,253,151,128,105,87,86,210,81,5
round_queries,363,759,1661,4736,12705,32625,97954,738150,879417,505455
round_k,1,5,18,60,187,569,1757,5428,16802,50545
round_shots,511,535,170,100,116,88,76,107,86,10
round_queries,511,1605,1870,4100,14268,33880,89452,381883,939550,1023250
round_k,1,5,20,61,192,588,1784,5462,16943,51162
round_shots,436,568,121,107,120,93,76,64,97,16
round_queries,436,1704,1331,3531,11880,29109,72124,182464,829641,1254576
round_k,1,5,16,49,156,474,1425,4276,12829,39205
round_shots,559,253,113,153,152,92,136,66,60,6
round_queries,559,759,1243,5049,17480,33948,155448,226974,619860,563634
round_k,1,5,16,57,184,571,1719,5165,15656,46969
round_shots,452,247,171,128,133,93,93,66,54,3
round_queries,452,741,1881,5248,16359,34503,109647,239910,598050,309795
round_k,1,5,20,61,185,589,1817,5537,16766,51632
round_shots,391,422,137,142,172,198,102,66,54,3
round_queries,391,1266,1507,5254,21500,76230,118626,238194,590814,304419
round_k,1,5,18,62,192,581,1804,5470,16435,50736
round_shots,468,262,137,131,250,87,138,81,57,14
round_queries,468,786,1507,4323,26250,27405,132894,238545,510777,1132530
round_k,1,5,16,52,157,481,1472,4480,13481,40447
round_shots,564,583,222,106,133,87,74,91,57,5
round_queries,564,1749,2442,4770,17955,35409,93906,347165,669693,534515
round_k,1,5,22,67,203,634,1907,5874,17672,53451
round_shots,527,363,160,150,138,90,80,65,65,8
round_queries,527,1089,1760,4950,15594,32310,87120,214955,656045,736872
round_k,1,5,16,56,179,544,1653,5046,15263,46054
round_shots,408,359,157,109,127,101,75,66,57,4
round_queries,408,1077,1727,4033,14605,35047,81225,214962,566409,358940
round_k,1,5,18,57,173,541,1628,4968,14912,44867
round_shots,299,296,192,132,99,83,102,149,69,7
round_queries,299,888,2112,4356,11187,28801,106590,467413,657225,604429
round_k,1,5,16,56,173,522,1568,4762,14352,43173
round_shots,673,411,138,120,123,88,107,123,109,12
round_queries,673,1233,1518,3960,12669,28952,106037,371337,1001601,999420
round_k,1,5,16,51,164,495,1509,4594,13789,41642
round_shots,569,418,123,137,110,186,93,90,59,14
round_queries,569,1254,1353,4521,11770,60822,94581,279090,548995,1187242
round_k,1,5,16,53,163,508,1550,4652,14091,42401
round_shots,642,539,229,138,95,89,180,89,55,3
round_queries,642,1617,2519,6210,14915,42275,259020,384213,715275,352521
round_k,1,5,22,78,237,719,2158,6502,19571,58753
round_shots,311,574,282,126,98,128,72,63,104,4
round_queries,311,1722,3102,6174,15386,62592,106056,283815,1409096,495372
round_k,1,5,24,78,244,736,2252,6774,20473,61921
round_shots,441,412,219,167,110,104,72,61,71,4
round_queries,441,1236,2409,7515,17930,51480,109224,279441,976037,511452
round_k,1,5,22,81,247,758,2290,6873,21056,63931
round_shots,468,718,189,114,101,90,75,81,155,3
round_queries,468,2154,2079,4674,13231,37350,94275,306099,1774905,320169
round_k,1,5,20,65,207,628,1889,5725,17266,53361
round_shots,647,403,235,125,108,115,73,146,52,3
round_queries,647,1209,2585,5625,15444,54165,103587,628822,671892,353319
round_k,1,5,22,71,235,709,2153,6460,19381,58886
round_shots,430,358,244,125,120,83,76,78,53,4
round_queries,430,1074,2684,6125,18840,40753,111948,345774,706331,493452
round_k,1,5,24,78,245,736,2216,6663,20112,61681
round_shots,447,253,123,118,105,121,117,97,78,4
round_queries,447,759,1353,3894,10815,39083,115713,296141,720018,349484
round_k,1,5,16,51,161,494,1526,4615,14071,43685
round_shots,402,653,163,146,90,86,81,69,57,6
round_queries,402,1959,1793,5402,11430,32766,94041,243501,604257,582798
round_k,1,5,18,63,190,580,1764,5300,15951,48566
round_shots,219,319,120,102,112,100,108,78,95,9
round_queries,219,957,1320,3366,11088,30300,99468,217074,802655,702945
round_k,1,5,16,49,151,460,1391,4224,13017,39052
round_shots,569,307,115,161,160,100,86,64,60,11
round_queries,569,921,1265,5313,16160,32700,87462,201024,566940,979385
round_k,1,5,16,50,163,508,1570,4724,14542,44517
round_shots,652,892,277,160,124,84,78,106,72,9
round_queries,652,2676,3047,5600,15748,32172,90558,371530,759384,868833
round_k,1,5,17,63,191,580,1752,5273,16089,48268
round_shots,678,408,131,128,112,188,80,68,55,13
round_queries,678,1224,1441,4224,11984,63732,85840,221204,537515,1153425
round_k,1,5,16,53,169,536,1626,4886,14751,44362
round_shots,559,259,203,154,90,87,76,108,53,3
round_queries,559,777,2233,6930,12330,35757,95380,413100,616549,316125
round_k,1,5,22,68,205,627,1912,5816,17562,52687
round_shots,632,250,304,175,155,180,70,62,59,6
round_queries,632,750,3344,9275,24955,88740,108850,289478,827711,775422
round_k,1,5,26,80,246,777,2334,7014,21361,64618
round_shots,391,417,123,135,119,116,107,74,72,4
round_queries,391,1251,1353,4455,13447,41180,114169,238354,698472,365332
round_k,1,5,16,56,177,533,1610,4850,14781,45666
round_shots,506,290,222,113,95,86,75,73,103,9
round_queries,506,870,2442,5085,13205,35862,94425,279517,1191813,998001
round_k,1,5,22,69,208,629,1914,5785,18001,55444
round_shots,511,248,174,114,119,87,219,233,204,3
round_queries,511,744,1914,4674,15589,34365,262143,850683,2239716,306495
round_k,1,5,20,65,197,598,1825,5489,17027,51082
round_shots,657,263,168,108,115,103,79,79,58,12
round_queries,657,789,1848,3996,13225,36153,84767,257303,578434,1100604
round_k,1,5,18,57,175,536,1628,4986,15113,45858
round_shots,501,363,190,138,92,82,80,62,53,7
round_queries,501,1089,2090,5934,12972,34686,101840,241986,620789,754593
round_k,1,5,21,70,211,636,1951,5856,17634,53899
round_shots,452,516,244,138,102,93,145,69,54,3
round_queries,452,1548,2684,6210,15402,43431,204595,299805,706266,357255
round_k,1,5,22,75,233,705,2172,6539,19806,59542
round_shots,374,356,151,149,106,85,98,88,55,4
round_queries,374,1068,1661,5513,11978,29495,102018,278520,530365,349900
round_k,1,5,18,56,173,520,1582,4821,14528,43737
round_shots,585,257,108,119,105,96,77,65,58,14
round_queries,585,771,1188,3927,10395,30240,73535,188825,510574,1114554
round_k,1,5,16,49,157,477,1452,4401,13208,39805
round_shots,490,376,203,132,98,84,85,71,55,6
round_queries,490,1128,2233,5940,14602,39060,119255,299265,698005,705222
round_k,1,5,22,74,232,701,2107,6345,19110,58768
round_shots,506,325,110,117,121,90,80,69,69,5
round_queries,506,975,1210,3861,12463,28350,76240,197271,595125,404605
round_k,1,5,16,51,157,476,1429,4312,13180,40460
round_shots,693,756,270,283,133,84,90,139,56,4
round_queries,693,2268,2970,9905,15561,31836,102690,484971,591080,380244
round_k,1,5,17,58,189,570,1744,5277,15843,47530
round_shots,527,250,124,135,106,87,78,125,56,15
round_queries,527,750,1364,4455,11342,29145,79794,384625,516936,1273575
round_k,1,5,16,53,167,511,1538,4615,13951,42452
round_shots,678,257,136,153,112,94,75,182,54,9
round_queries,678,771,1496,5661,14224,36378,87975,643734,572994,872811
round_k,1,5,18,63,193,586,1768,5305,15996,48489
round_shots,457,293,150,213,134,88,80,76,56,7
round_queries,457,879,1650,7881,17018,33704,93360,270028,602952,698285
round_k,1,5,18,63,191,583,1776,5383,16449,49877
round_shots,402,299,136,137,118,84,101,79,73,3
round_queries,402,897,1496,5069,15222,33852,123927,290957,812125,302739
round_k,1,5,18,64,201,613,1841,5562,16712,50456
round_shots,647,480,142,122,98,94,112,96,55,4
round_queries,647,1440,1562,4514,11270,33182,119728,313056,540815,357812
round_k,1,5,18,57,176,534,1630,4916,14877,44726
round_shots,457,401,167,130,99,89,85,97,52,5
round_queries,457,1203,1837,5330,13959,39249,113135,398961,641628,560315
round_k,1,5,20,70,220,665,2056,6169,18508,56031
round_shots,595,415,124,122,116,206,138,91,93,16
round_queries,595,1245,1364,4026,11484,61594,123786,249977,776457,1209744
round_k,1,5,16,49,149,448,1373,4174,12584,37804
round_shots,527,313,108,116,105,115,80,69,56,16
round_queries,527,939,1188,3828,10395,35305,78480,203895,500584,1315504
round_k,1,5,16,49,153,490,1477,4469,13538,41109
round_shots,575,506,148,139,109,88,80,70,94,11
round_queries,575,1518,1628,5143,13407,33000,91440,241150,982206,1067319
round_k,1,5,18,61,187,571,1722,5224,16171,48514
round_shots,414,376,168,112,110,98,75,64,103,5
round_queries,414,1128,1848,4592,13970,37926,88575,230592,1120949,510445
round_k,1,5,20,63,193,590,1801,5441,16765,51044
round_shots,447,466,121,124,106,87,111,87,62,12
round_queries,447,1398,1331,4092,11342,29145,112443,266133,570462,1016772
round_k,1,5,16,53,167,506,1529,4600,13968,42365
round_shots,543,273,124,134,96,87,76,71,57,12
round_queries,543,819,1364,4422,10656,29319,78204,224147,546231,1076052
round_k,1,5,16,55,168,514,1578,4791,14507,44835
round_shots,559,433,174,135,96,99,96,72,61,5
round_queries,559,1299,1914,5535,13152,40689,118944,269352,685213,512875
round_k,1,5,20,68,205,619,1870,5616,16902,51287
round_shots,501,350,121,143,118,98,79,66,58,16
round_queries,501,1050,1331,4719,11918,30478,74181,186450,491782,1261104
round_k,1,5,16,50,155,469,1412,4239,12911,39409
round_shots,369,260,116,100,105,89,100,92,57,6
round_queries,369,780,1276,3300,10395,27679,95100,264684,494589,480522
round_k,1,5,16,49,155,475,1438,4338,13174,40043
round_shots,543,260,165,100,110,221,112,169,88,7
round_queries,543,780,1815,3700,12210,75803,117264,534209,846824,621705
round_k,1,5,18,55,171,523,1580,4811,14664,44407
round_shots,522,544,116,149,102,105,74,79,55,5
round_queries,522,1632,1276,4917,11730,38535,84878,273261,580855,498395
round_k,1,5,16,57,183,573,1729,5280,16032,49839
round_shots,683,363,137,133,123,84,95,67,149,8
round_queries,683,1089,1507,4921,15375,33180,112955,240597,1606965,776520
round_k,1,5,18,62,197,594,1795,5392,16177,48532
round_shots,543,280,197,127,102,96,76,74,79,3
round_queries,543,840,2167,5207,13158,37536,90364,264994,868921,304389
round_k,1,5,20,64,195,594,1790,5499,16761,50731
round_shots,501,244,222,130,104,91,69,68,130,7
round_queries,501,732,2442,5850,15912,44499,102465,302940,1737450,847903
round_k,1,5,22,76,244,742,2227,6682,20047,60564
round_shots,580,509,135,142,104,300,170,66,65,14
round_queries,580,1527,1485,4686,11544,103500,180370,215886,640705,1244894
round_k,1,5,16,55,172,530,1635,4928,14806,44460
round_shots,468,324,141,204,98,94,97,82,61,6
round_queries,468,972,1551,7548,11074,31866,99813,258382,587857,543522
round_k,1,5,18,56,169,514,1575,4818,14708,45293
round_shots,287,375,256,129,123,95,77,62,52,3
round_queries,287,1125,2816,6321,19311,47025,117425,289974,732940,386631
round_k,1,5,24,78,247,762,2338,7047,21277,64438
round_shots,662,634,218,113,111,86,107,69,131,6
round_queries,662,1902,2398,5085,15429,37238,139849,272481,1566105,665022
round_k,1,5,22,69,216,653,1974,5977,18406,55418
round_shots,468,523,188,105,106,101,76,104,58,3
round_queries,468,1569,2068,4305,13462,41107,94316,391560,666246,312141
round_k,1,5,20,63,203,620,1882,5743,17309,52023
round_shots,352,332,204,130,93,96,101,66,60,5
round_queries,352,996,2244,5330,13113,40608,128775,252582,689580,528255
round_k,1,5,20,70,211,637,1913,5746,17294,52825
round_shots,484,687,148,149,183,86,93,65,58,6
round_queries,484,2061,1628,5513,20679,30874,101277,218335,594674,554418
round_k,1,5,18,56,179,544,1679,5126,15400,46201
round_shots,601,466,322,189,140,102,70,71,71
round_queries,601,1398,3542,10017,25620,56610,116970,357769,3362489
round_k,1,5,26,91,277,835,2519,7628,23679
round_shots,538,466,145,143,97,123,79,67,132,6
round_queries,538,1398,1595,5291,11931,45387,87611,225857,1354716,556902
round_k,1,5,18,61,184,554,1685,5131,15394,46408
round_shots,323,345,121,128,101,95,78,73,100,13
round_queries,323,1035,1331,4224,10807,31255,78078,224329,933100,1111903
round_k,1,5,16,53,164,500,1536,4665,14148,42765
round_shots,419,467,108,126,93,84,77,68,70,15
round_queries,419,1401,1188,4158,9951,27300,75075,203388,638750,1264275
round_k,1,5,16,53,162,487,1495,4562,13734,42142
round_shots,506,349,174,153,192,104,80,78,54,3
round_queries,506,1047,1914,6273,24000,40664,95760,281190,585522,298725
round_k,1,5,20,62,195,598,1802,5421,16471,49787
round_shots,374,342,132,109,119,139,98,68,60,20
round_queries,374,1026,1452,3597,12257,43229,93394,196044,520020,1581300
round_k,1,5,16,51,155,476,1441,4333,13177,39532
round_shots,824,658,262,157,90,90,88,182,56,16
round_queries,824,1974,2882,5495,9450,28350,85448,530166,503832,1309200
round_k,1,5,17,52,157,485,1456,4498,13637,40912
round_shots,419,274,110,141,108,117,99,84,62,13
round_queries,419,822,1210,4653,11988,41067,106623,273420,606918,1156649
round_k,1,5,16,55,175,538,1627,4894,14774,44486
round_shots,293,268,135,153,111,89,75,65,54,14
round_queries,293,804,1485,5049,12765,31595,80775,215085,538866,1279586
round_k,1,5,16,57,177,538,1654,4989,14970,45699
round_shots,402,409,137,120,120,91,91,87,56,4
round_queries,402,1227,1507,4440,14280,33033,100191,293625,569800,373884
round_k,1,5,18,59,181,550,1687,5087,15381,46735
round_shots,397,459,307,346,215,132,97,74,54,4
round_queries,397,1377,3377,18338,34185,64812,144821,331594,737478,500804
round_k,1,5,26,79,245,746,2240,6828,20749,62600
round_shots,391,262,146,114,109,117,82,79,56,9
round_queries,391,786,1606,3762,11227,36855,77654,225229,484792,711351
round_k,1,5,16,51,157,473,1425,4328,13097,39519
round_shots,662,597,210,109,115,106,120,94,56,3
round_queries,662,1791,2310,4905,15985,44414,154200,364250,651336,314955
round_k,1,5,22,69,209,642,1937,5815,17497,52492
round_shots,346,256,207,126,124,92,102,62,55,3
round_queries,346,768,2277,5670,18476,43332,148206,270382,727155,370389
round_k,1,5,22,74,235,726,2180,6610,19951,61731
round_shots,839,263,189,123,111,102,76,69,60,5
round_queries,839,789,2079,5043,14985,41922,95532,261027,686940,534705
round_k,1,5,20,67,205,628,1891,5724,17370,53470
round_shots,585,311,248,178,92,86,73,64,53,3
round_queries,585,933,2728,8722,13708,38786,102565,270912,674001,348675
round_k,1,5,24,74,225,702,2116,6358,19079,58112
round_shots,678,263,163,132,256,126,78,64,58,8
