round_k,2,8,44,154,694,3847
round_shots,500,200,100,100,100
round_queries,500,1400,3100,11900,236300
round_k,3,15,59,247,1181
round_shots,700,200,200,100,100
round_queries,700,1000,4600,11700,223500
round_k,2,11,58,233,1117
round_shots,600,200,100,200,100,100
round_queries,600,1000,1900,14200,29300,633100
round_k,2,9,35,146,590,3165
round_shots,500,200,100,100,100
round_queries,500,1400,3100,11100,217100
round_k,3,15,55,225,1085
round_shots,500,200,100,100,100
round_queries,500,1400,2300,8500,163700
round_k,3,11,42,177,818
round_shots,600,200,100,100,100,100
round_queries,600,1000,1700,6100,21300,499100
round_k,2,8,30,106,473,2495
round_shots,400,200,200,100,100,100
round_queries,400,1000,3400,5900,20500,456100
round_k,2,8,29,102,439,2280
round_shots,600,200,100,100,100
round_queries,600,1400,2300,8500,143300
round_k,3,11,42,160,716
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,5900,22500,509100
round_k,2,9,29,112,487,2545
round_shots,300,200,200,100,100,100
round_queries,300,1000,3800,7300,23900,529700
round_k,2,9,36,119,532,2648
round_shots,700,300,200,100,100
round_queries,700,1500,5000,12700,171100
round_k,2,12,63,207,855
round_shots,400,200,200,100,100,100
round_queries,400,1000,3400,6700,20300,435700
round_k,2,8,33,101,423,2178
round_shots,300,200,100,100,100,100
round_queries,300,1000,1700,5300,18900,403700
round_k,2,8,26,94,397,2018
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6500,25300,553100
round_k,2,9,32,126,535,2765
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6900,28300,696700
round_k,2,9,34,141,638,3483
round_shots,600,200,100,100,100,100
round_queries,600,1400,3100,9500,30700,722500
round_k,3,15,47,153,661,3612
round_shots,600,200,100,200,100
round_queries,600,1400,2300,15800,142700
round_k,3,11,39,189,713
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6100,22500,532300
round_k,2,9,30,112,505,2661
round_shots,500,200,100,100,100,100
round_queries,500,1000,1700,6500,23700,573500
round_k,2,8,32,118,540,2867
round_shots,600,200,100,200,100
round_queries,600,1000,2500,18200,268700
round_k,2,12,45,275,1343
round_shots,400,100,200,100,100,100
round_queries,400,500,3400,6700,23500,468300
round_k,2,8,33,117,448,2341
round_shots,600,200,200,100,100
round_queries,600,1000,5000,10900,190300
round_k,2,12,54,203,951
round_shots,500,100,100,100,100,100
round_queries,500,500,1700,5900,23900,484100
round_k,2,8,29,119,462,2420
round_shots,600,100,100,100,100,100
round_queries,600,500,1700,5500,17500,383900
round_k,2,8,27,87,373,1919
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6500,26300,403900
round_k,2,9,32,131,428,2019
round_shots,500,200,100,100,100,100
round_queries,500,1000,1700,5900,22700,439300
round_k,2,8,29,113,433,2196
round_shots,400,200,200,100,100,100
round_queries,400,1000,3800,8300,30500,713300
round_k,2,9,41,152,667,3566
round_shots,600,200,100,100,100,100
round_queries,600,1000,1900,6100,19300,432100
round_k,2,9,30,96,423,2160
round_shots,400,200,200,100,100,100
round_queries,400,1000,3400,5900,20500,402500
round_k,2,8,29,102,393,2012
round_shots,500,200,200,100,100
round_queries,500,1000,3800,8300,153500
round_k,2,9,41,168,767
round_shots,600,100,100,100,100,100
round_queries,600,500,1700,5300,17900,380900
round_k,2,8,26,89,374,1904
round_shots,600,200,100,200,100
round_queries,600,1000,1900,13400,168100
round_k,2,9,33,190,840
round_shots,500,200,100,100,100,100
round_queries,500,1400,2500,8500,27700,636100
round_k,3,12,42,138,586,3180
round_shots,600,200,200,100,100
round_queries,600,1000,4600,8900,153300
round_k,2,11,44,171,766
round_shots,500,200,200,100,100
round_queries,500,1400,4600,8900,182100
round_k,3,11,44,190,910
round_shots,600,200,200,100,100,100
round_queries,600,1000,3400,7700,30500,608900
round_k,2,8,38,152,589,3044
round_shots,400,200,100,100,100,100
round_queries,400,1000,1700,5900,23700,519500
round_k,2,8,29,118,503,2597
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6300,21500,503300
round_k,2,9,31,107,478,2516
round_shots,700,100,200,100,100
round_queries,700,700,4600,8900,171300
round_k,3,11,44,180,856
round_shots,500,200,100,100,100,100
round_queries,500,1400,2500,7900,29900,749300
round_k,3,12,39,149,690,3746
round_shots,600,200,100,100,100,100
round_queries,600,1400,2900,9500,30900,740700
round_k,3,14,47,154,675,3703
round_shots,400,200,100,100,100,100
round_queries,400,1000,1700,6100,23300,524700
round_k,2,8,30,116,505,2623
round_shots,500,100,100,100,100,100
round_queries,500,500,1700,5900,21100,500500
round_k,2,8,29,105,473,2502
round_shots,500,200,100,100,100,100
round_queries,500,1000,1700,5500,18700,430100
round_k,2,8,27,93,424,2150
round_shots,300,300,100,100,100
round_queries,300,1500,2500,8900,146300
round_k,2,12,44,191,731
round_shots,500,200,200,100,100
round_queries,500,1400,6200,15700,267700
round_k,3,15,78,268,1338
round_shots,500,200,100,100,100
round_queries,500,1000,2500,9500,160900
round_k,2,12,47,173,804
round_shots,500,100,100,100,100
round_queries,500,700,2300,8500,148700
round_k,3,11,42,160,743
round_shots,700,300,100,100,100,100
round_queries,700,1500,2500,7700,23900,459900
round_k,2,12,38,119,457,2299
