round_shots,200,100,100,100,100,400,200,100
round_queries,200,300,900,2700,8100,102800,165400,1860900
round_k,1,4,13,40,128,413,1935,9304
round_shots,100,100,100,200,100,100,100,100
round_queries,100,300,900,5800,9500,36100,145500,3195700
round_k,1,4,14,47,180,727,3144,15978
round_shots,200,200,200,100,300,100,100,100
round_queries,200,600,2200,4700,45300,56500,231500,5439900
round_k,1,5,23,75,282,1157,5126,27199
round_shots,100,200,100,100,500,100,100,100
round_queries,100,600,900,2700,45500,28300,90100,1766500
round_k,1,4,13,45,141,450,1892,8832
round_shots,200,200,200,400,100,100,100,100
round_queries,200,600,1800,10800,8500,31500,118300,2569900
round_k,1,4,13,42,157,591,2606,12849
round_shots,200,100,100,200,300,100,100,100
round_queries,200,300,900,5800,30300,64700,266300,6599500
round_k,1,4,14,50,323,1331,6181,32997
round_shots,300,200,200,100,200,200,100,100
round_queries,300,600,1800,3300,21800,79800,205300,4365300
round_k,1,4,16,54,199,1026,4239,21826
round_shots,200,200,200,200,300,100,100,100
round_queries,200,600,2200,9400,44700,51700,165300,3129500
round_k,1,5,23,74,258,826,3137,15647
round_shots,200,200,100,200,200,100,100,100
round_queries,200,600,1300,7800,34200,52300,209100,4455900
round_k,1,6,19,85,261,1045,4369,22279
round_shots,200,200,200,100,400,100,100
round_queries,200,600,2600,5300,66000,122100,2415300
round_k,1,6,26,82,610,2498,12076
round_shots,100,200,200,200,600,100,100
round_queries,100,600,1800,6600,88200,133900,2526900
round_k,1,4,16,73,669,2565,12634
round_shots,200,200,100,100,100,100,100,100
round_queries,200,600,900,2700,8100,29300,103500,2209100
round_k,1,4,13,40,146,517,2256,11045
round_shots,300,100,200,100,400,100,100,100
round_queries,300,300,1800,3300,43600,76700,300700,7750500
round_k,1,4,16,54,383,1503,7030,38752
round_shots,100,100,200,200,300,100,100,100
round_queries,100,300,1800,5400,30900,33700,118700,2504700
round_k,1,4,13,51,168,593,2574,12523
round_shots,200,200,100,300,300,100,100,100
round_queries,200,600,1100,9900,31500,62300,252900,6154300
round_k,1,5,16,52,311,1264,5722,30771
round_shots,100,200,200,200,200,100,100
round_queries,100,600,2200,9400,29800,77500,1479100
round_k,1,5,23,74,387,1597,7395
round_shots,100,100,100,200,300,100,100,100
round_queries,100,300,900,5400,24900,53700,214700,5135700
round_k,1,4,13,41,268,1073,4886,25678
round_shots,200,100,200,100,100,100,100,100
round_queries,200,300,1800,2900,10300,34300,139300,2710500
round_k,1,4,14,51,171,696,2795,13552
round_shots,200,200,200,500,100,100,100
round_queries,200,600,2200,19500,30500,114500,2429700
round_k,1,5,19,152,572,2469,12148
round_shots,200,200,100,300,100,100,100,100
round_queries,200,600,1100,10500,10500,39100,139300,2998300
round_k,1,5,17,52,195,696,2964,14991
round_shots,200,200,300,100,100,200,300,100
round_queries,200,600,3300,4100,13500,99400,527700,6484300
round_k,1,5,20,67,248,879,6761,32421
