round_k,2,9,35,143,656,3518
round_shots,500,200,100,100,100
round_queries,500,1000,2300,8700,158100
round_k,2,11,43,169,790
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7500,30500,738300
round_k,2,11,37,152,682,3691
round_shots,400,100,100,100,100,100
round_queries,400,300,900,3300,11500,241500
round_k,1,4,16,57,247,1207
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6500,26500,608700
round_k,2,9,32,132,586,3043
round_shots,400,200,100,100,100,100
round_queries,400,600,1300,4500,17500,404300
round_k,1,6,22,87,396,2021
round_shots,300,100,100,100,100,100
round_queries,300,500,1500,5500,19300,451500
round_k,2,7,27,96,434,2257
round_shots,500,200,100,100,100,100
round_queries,500,1000,1900,6500,24500,578700
round_k,2,9,32,122,544,2893
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,6100,24300,529500
round_k,2,9,30,121,513,2647
round_shots,400,300,100,100,100
round_queries,400,1500,2300,7900,142500
round_k,2,11,39,160,712
round_shots,400,300,100,100,100
round_queries,400,1500,2700,9700,182900
round_k,2,13,48,194,914
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7900,33100,739100
round_k,2,11,39,165,699,3695
round_shots,500,100,200,100,100,100
round_queries,500,300,1800,4500,17100,377700
round_k,1,4,22,85,377,1888
round_shots,400,300,100,100,100,100
round_queries,400,1500,2300,7300,28300,670700
round_k,2,11,36,141,625,3353
round_shots,400,300,100,100,100,100
round_queries,400,1500,2300,7300,30100,738500
round_k,2,11,36,150,670,3692
round_shots,300,200,100,100,100
round_queries,300,1000,2300,7900,144700
round_k,2,11,39,157,723
round_shots,400,200,100,100,100
round_queries,400,1000,2300,8700,160700
round_k,2,11,43,167,803
round_shots,400,300,100,100,100
round_queries,400,1500,2700,9300,173300
round_k,2,13,46,183,866
round_shots,400,200,200,100,100
round_queries,400,1000,3800,8300,154700
round_k,2,9,41,171,773
round_shots,400,200,100,100,100,100
round_queries,400,1000,1700,5900,22300,520700
round_k,2,8,29,111,500,2603
round_shots,300,200,200,100,100
round_queries,300,1000,3800,10100,202900
round_k,2,9,50,211,1014
round_shots,300,200,100,100,100,100
round_queries,300,1000,1900,7100,29300,711300
round_k,2,9,35,146,664,3556
round_shots,500,200,100,100,100,100
round_queries,500,1000,1700,5500,21100,482500
round_k,2,8,27,105,467,2412
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7500,27500,617500
round_k,2,11,37,137,602,3087
round_shots,400,200,100,100,100,100
round_queries,400,1000,1900,6300,23700,539900
round_k,2,9,31,118,512,2699
round_shots,300,200,100,100,100,100
round_queries,300,1000,2300,7900,30700,767300
round_k,2,11,39,153,704,3836
round_shots,300,100,100,100,100,100
