round_shots,1500,300,200,200,100,200,100,100
round_queries,1500,2100,5000,16200,30100,205000,371700,5734100
round_k,3,12,40,150,512,1858,6808,28670
round_shots,1000,200,300,200,200,100,100,100
round_queries,1000,600,2700,6600,25800,55100,193700,2547300
round_k,1,4,16,64,275,968,3658,12736
round_shots,1500,300,200,200,100,200,100
round_queries,1500,2700,6600,27000,53500,366200,3196900
round_k,4,16,67,267,915,3942,15984
round_shots,1300,400,200,100,100,100,100,100
round_queries,1300,2800,5000,10100,30300,98300,354500,4179700
round_k,3,12,50,151,491,1772,6541,20898
round_shots,1596,384,192,192,192,96,96
round_queries,1596,2688,6336,23616,97728,221856,2958240
round_k,3,16,61,254,1155,4003,15407
round_shots,1100,200,300,100,100,100,200,200
round_queries,1100,600,2700,3300,9900,30500,194200,3329000
round_k,1,4,16,49,152,485,2338,8322
round_shots,1300,200,200,200,100,100,100
round_queries,1300,1400,5000,19800,43500,149500,2251500
round_k,3,12,49,217,747,2738,11257
round_shots,1200,300,200,200,100,100,100,100
round_queries,1200,2100,5000,16200,33500,111300,389300,6954100
round_k,3,12,40,167,556,1946,6745,34770
round_shots,900,200,200,200,100,100,100,100
round_queries,900,1400,5000,17800,36500,110500,380500,7179700
round_k,3,12,44,182,552,1902,7176,35898
round_shots,900,300,300,200,100,100,100,100
round_queries,900,2100,6900,14600,32500,107300,387700,4635500
round_k,3,11,36,162,536,1938,6780,23177
round_shots,1300,300,200,200,200,200,200,100
round_queries,1300,2700,6600,24600,84200,275000,1147400,5835900
round_k,4,16,61,210,687,2868,9097,29179
round_shots,1000,400,200,200,100,100,100,100
round_queries,1000,2800,5000,17800,32700,101900,360500,6255100
round_k,3,12,44,163,509,1802,7103,31275
round_shots,1400,200,200,300,100,100,100,100
round_queries,1400,1800,6600,35700,36300,121700,444100,6270900
round_k,4,16,59,181,608,2220,7997,31354
round_shots,1400,300,200,200,100,100,100,100
round_queries,1400,2100,5000,19800,39900,131500,481900,6583300
round_k,3,12,49,199,657,2409,9219,32916
round_shots,1596,288,192,192,96,96,96
round_queries,1596,2016,4800,17472,38304,125280,1821792
round_k,3,12,45,199,652,2377,9488
round_shots,500,300,300,200,200,100,100,100
round_queries,500,900,2700,6600,23400,47300,157700,2371900
round_k,1,4,16,58,236,788,2951,11859
round_shots,1596,288,192,192,96,96,96,96
round_queries,1596,2016,4800,17472,34464,105120,358752,4479072
round_k,3,12,45,179,547,1868,6049,23328
round_shots,1200,400,200,200,100,100,100,100
round_queries,1200,2800,5000,19800,39100,129700,478100,6553700
round_k,3,12,49,195,648,2390,8004,32768
round_shots,1000,200,200,200,100,100,100
round_queries,1000,1400,5000,20200,45500,146300,1968500
round_k,3,12,50,227,731,2575,9842
round_shots,1400,200,200,200,200,100,100
round_queries,1400,1800,6600,28200,128200,274100,3988700
round_k,4,16,70,320,1370,4989,19943
round_shots,1200,400,200,200,200,100,100,100
round_queries,1200,2800,5000,16600,51800,96100,349300,6255500
round_k,3,12,41,129,480,1746,7014,31277
round_shots,1596,192,192,192,96,96,96
round_queries,1596,1728,6336,23616,49056,160032,2418912
round_k,4,16,61,255,833,3078,12598
round_shots,1400,300,200,200,200,200,200
round_queries,1400,2100,5000,16600,72600,319400,5053400
round_k,3,12,41,181,798,2689,12633
round_shots,1100,200,200,200,100,100,100
round_queries,1100,1400,5000,19400,41500,134300,1965700
round_k,3,12,48,207,671,2498,9828
round_shots,1100,300,200,200,200,100,100
round_queries,1100,2100,5000,19400,78200,164900,1728100
round_k,3,12,48,195,824,2699,8640
round_shots,1500,300,200,200,100,100,100
round_queries,1500,2700,8200,32600,66500,230700,4278100
round_k,4,20,81,332,1153,4225,21390
round_shots,1100,300,200,100,200,100,100,100
round_queries,1100,2100,5000,8900,53800,111300,375300,5671900
round_k,3,12,44,134,556,1876,7457,28359
round_shots,1300,300,200,300,100,100,100,100
round_queries,1300,2100,5000,23700,30700,102500,336900,5208500
round_k,3,12,39,153,512,1684,6452,26042
round_shots,800,200,200,200,100,100,100,100
round_queries,800,1400,4600,17400,32300,101100,341700,5493500
round_k,3,11,43,161,505,1708,6568,27467
round_shots,1000,300,300,200,100,100,100,100
round_queries,1000,2100,7500,17400,31700,99900,350300,5747900
round_k,3,12,43,158,499,1751,6844,28739
round_shots,900,300,200,100,100,300,100,100
round_queries,900,2100,5000,9100,27500,267900,356300,6242700
round_k,3,12,45,137,446,1781,6958,31213
round_shots,1500,300,200,200,200,100,100
round_queries,1500,2700,6600,27800,127800,291900,4837100
round_k,4,16,69,319,1459,5626,24185
round_shots,1300,200,200,200,200,100,100
round_queries,1300,1800,6600,23000,89800,191500,2351700
round_k,4,16,57,224,957,2887,11758
round_shots,900,300,200,100,100,100,100,100
round_queries,900,2100,5000,9900,30500,103100,369500,6423500
round_k,3,12,49,152,515,1847,7290,32117
round_shots,1300,400,300,200,100,100,100,100
round_queries,1300,2800,8100,16600,31900,100100,353900,4833100
round_k,3,13,41,159,500,1769,6134,24165
round_shots,900,300,300,200,100,100,100,100
round_queries,900,2100,7500,17800,34500,109100,352900,5572700
round_k,3,12,44,172,545,1764,6773,27863
round_shots,1500,200,200,200,200,100,100,100
round_queries,1500,1400,5000,19800,69800,112700,404100,6880500
round_k,3,12,49,174,563,2020,7643,34402
round_shots,1100,200,200,200,200,100,100
round_queries,1100,1400,4600,19000,73400,156700,2348100
round_k,3,11,47,183,783,2882,11740
round_shots,1000,300,200,200,100,200,100,100
round_queries,1000,2100,5000,16200,29500,196600,432700,5843900
round_k,3,12,40,147,491,2163,6824,29219
round_shots,900,300,200,200,200,200,100
round_queries,900,2100,4600,14600,57800,237400,2284700
round_k,3,11,36,144,593,2785,11423
round_shots,1500,300,200,100,100,100,100
round_queries,1500,2700,8200,16500,50300,170700,2627300
round_k,4,20,82,251,853,3134,13136
round_shots,1000,300,200,200,100,200,200,100
round_queries,1000,2100,5000,16200,33100,226200,901800,5577100
round_k,3,12,40,165,565,2254,7312,27885
round_shots,1400,300,200,200,100,100,100,100
round_queries,1400,2100,5000,19400,42700,143300,465700,7226100
round_k,3,12,48,213,716,2328,8784,36130
round_shots,1100,200,300,200,200,200,200,100
round_queries,1100,600,2700,6600,26200,104200,450600,4533900
round_k,1,4,16,65,260,1126,5200,22669
round_shots,1000,400,200,200,100,100,100,100
round_queries,1000,2800,5000,16600,33700,107900,373700,5504100
round_k,3,12,41,168,539,1868,6595,27520
round_shots,900,300,200,100,100,300,200,100
round_queries,900,2100,5000,9700,29700,267300,541000,4310300
round_k,3,12,48,148,445,1352,4989,21551
round_shots,1000,200,200,100,100,100,100,100
round_queries,1000,1400,5000,9700,29300,92700,316500,5488500
round_k,3,12,48,146,463,1582,6208,27442
round_shots,1000,300,200,200,100,100,100,100
round_queries,1000,2100,5000,15800,23700,74900,259900,4082700
round_k,3,12,39,118,374,1299,4873,20413
round_shots,1000,300,200,200,100,100,100
round_queries,1000,2100,5000,16600,37300,126900,1819500
round_k,3,12,41,186,634,2351,9097
round_shots,1300,300,400,100,200,200,200,100
round_queries,1300,2100,9200,9100,54600,244200,1003000,5640100
round_k,3,11,45,136,610,2507,7828,28200
round_shots,1100,200,200,200,200,200,100,100
round_queries,1100,600,1800,6600,22200,87800,172900,2037900
round_k,1,4,16,55,219,864,2739,10189
round_shots,900,300,300,200,200,200,100,100,100
round_queries,900,900,2700,6600,22600,70600,150500,478100,6116900
round_k,1,4,16,56,176,752,2390,9462,30584
round_shots,1100,300,200,200,100,100,100,100
round_queries,1100,2100,5000,16600,27900,90300,318300,5114300
round_k,3,12,41,139,451,1591,6090,25571
round_shots,1400,300,200,100,100,100,100,100
