round_queries,2100,2800,6800,12300,19400,43800,51900
round_k,0,3,8,20,48,109,259
round_shots,2500,400,300,600,400,300,100
round_queries,2500,2800,5100,21000,39600,75300,67500
round_k,0,3,8,17,49,125,337
round_shots,3400,400,400,200,200,200,200
round_queries,3400,2800,6800,8200,17800,37400,79800
round_k,0,3,8,20,44,93,199
round_shots,3700,400,300,300,300,300,300
round_queries,3700,2800,5100,11700,24300,54900,122100
round_k,0,3,8,19,40,91,203
round_shots,2800,300,400,300,200,200,100
round_queries,2800,2100,6800,12300,22600,47000,55900
round_k,0,3,8,20,56,117,279
round_shots,3500,400,400,300,200,200,200
round_queries,3500,2800,6800,12300,21000,47000,102200
round_k,0,3,8,20,52,117,255
round_shots,3500,500,300,200,300,200
round_queries,3500,4500,7500,13000,39300,75800
round_k,0,4,12,32,65,189
round_shots,2600,400,300,300,200,200,100
round_queries,2600,2800,5100,12300,23000,52600,54500
round_k,0,3,8,20,57,131,272
round_shots,2500,400,300,300,200,200,100
round_queries,2500,2800,5100,14700,26200,60600,67100
round_k,0,3,8,24,65,151,335
round_shots,3100,300,300,200,200,200,100
round_queries,3100,2700,7500,11400,23000,49400,57700
round_k,0,4,12,28,57,123,288
round_shots,3700,300,300,300,200,200,100
round_queries,3700,2700,7500,17100,23400,51800,57700
round_k,0,4,12,28,58,129,288
round_shots,3500,400,300,300,400,300,100
round_queries,3500,2800,5100,12300,35600,74100,58100
round_k,0,3,8,20,44,123,290
round_shots,1900,400,400,500,300,300,200
round_queries,1900,2800,6800,19500,24300,56100,107400
round_k,0,3,8,19,40,93,268
round_shots,2600,400,500,300,200,300,300,100
round_queries,2600,1200,4500,7500,11400,34500,75300,64300
round_k,0,1,4,12,28,57,125,321
round_shots,2800,400,300,200,300,200,200
round_queries,2800,2800,5100,8200,26700,42600,95000
round_k,0,3,8,20,44,106,237
round_shots,2400,400,400,200,200,200,200
round_queries,2400,2800,6800,8200,17800,40600,95800
round_k,0,3,8,20,44,101,239
round_shots,2000,400,300,200,200,200,200
round_queries,2000,2800,5100,8200,17800,37400,76600
round_k,0,3,8,20,44,93,191
round_shots,2100,400,300,300,300,300,100
round_queries,2100,2800,5100,14700,34500,90300,69500
round_k,0,3,8,24,57,150,347
round_shots,2800,400,300,300,300,200,100
round_queries,2800,2800,5100,12300,33900,61800,72300
round_k,0,3,8,20,56,154,361
round_shots,3100,400,300,300,200,200,100
round_queries,3100,2800,5100,12900,21800,50600,55500
round_k,0,3,8,21,54,126,277
round_shots,2900,400,300,300,300,200,200
round_queries,2900,2800,5100,12300,29100,42600,88200
round_k,0,3,8,20,48,106,220
round_shots,3000,300,400,200,200,200,200
round_queries,3000,2100,6800,9800,19800,42600,95000
round_k,0,3,8,24,49,106,237
round_shots,2700,500,300,400,300,200,200
round_queries,2700,3500,5100,14000,24900,38600,87000
round_k,0,3,8,17,41,96,217
round_shots,1800,300,300,200,300,300,100
round_queries,1800,2100,5100,7800,23700,54900,51700
round_k,0,3,8,19,39,91,258
round_shots,2500,500,300,300,200,200,100
round_queries,2500,3500,5100,12300,20200,47000,49300
round_k,0,3,8,20,50,117,246
round_shots,3700,300,300,300,200,300,100
round_queries,3700,2700,7500,17100,26600,81900,65700
round_k,0,4,12,28,66,136,328
round_shots,3100,400,400,300,300,200,100
round_queries,3100,2800,6000,9900,26700,44200,52300
round_k,0,3,7,16,44,110,261
round_shots,3500,400,400,300,200,200,200
round_queries,3500,2800,6800,12300,22600,46600,96200
round_k,0,3,8,20,56,116,240
round_shots,3200,400,300,300,200,200,100
round_queries,3200,3600,7500,17100,25000,53000,59700
