round_shots,200,100,100,300,100
round_queries,200,300,900,8100,28500
round_k,1,4,13,47,142
round_shots,200,100,200,100,100
round_queries,200,300,1800,3700,64100
round_k,1,4,18,63,320
round_shots,100,100,200,100,100
round_queries,100,300,1800,3900,58900
round_k,1,4,19,58,294
round_shots,100,100,100,100,100
round_queries,100,300,900,2700,33900
round_k,1,4,13,50,169
round_shots,200,200,100,100,100
round_queries,200,600,900,3100,42900
round_k,1,4,15,58,214
round_shots,100,200,200,300,100
round_queries,100,600,1800,9300,33900
round_k,1,4,15,56,169
round_shots,200,100,100,200,100
round_queries,200,300,900,5400,46100
round_k,1,4,13,60,230
round_shots,200,100,100,300,100
round_queries,200,300,900,9300,35900
round_k,1,4,15,56,179
round_shots,200,100,100,100,100
round_queries,200,300,900,2700,35900
round_k,1,4,13,43,179
round_shots,100,200,100,100,100
round_queries,100,600,900,2700,31900
round_k,1,4,13,41,159
round_shots,100,100,100,100,100
round_queries,100,300,900,2900,28300
round_k,1,4,14,46,141
round_shots,200,200,100,100,100
round_queries,200,600,1100,3700,50300
round_k,1,5,18,66,251
round_shots,200,200,100,200
round_queries,200,600,1300,34600
round_k,1,6,19,86
round_shots,100,100,100,200,100
round_queries,100,300,900,5800,41700
round_k,1,4,14,49,208
round_shots,100,200,200,100
round_queries,100,600,2600,26100
round_k,1,6,31,130
round_shots,200,200,200,300,100
round_queries,200,600,2200,11100,36900
round_k,1,5,18,61,184
round_shots,100,200,100,100
round_queries,100,600,900,25100
round_k,1,4,14,125
round_shots,100,200,100,200
round_queries,100,600,1300,29000
round_k,1,6,22,72
round_shots,200,200,200,100
round_queries,200,600,2200,27100
round_k,1,5,18,135
round_shots,200,100,100,200,100
round_queries,200,300,900,5800,37700
round_k,1,4,14,59,188
round_shots,200,200,200,200
round_queries,200,600,2600,36600
round_k,1,6,25,91
round_shots,200,100,100,200,100
round_queries,200,300,900,5400,27500
round_k,1,4,13,45,137
round_shots,200,100,200,300
round_queries,200,300,1800,33300
round_k,1,4,15,55
round_shots,100,100,100,300
round_queries,100,300,900,33300
round_k,1,4,15,55
round_shots,200,100,200,200
round_queries,200,300,1800,29800
round_k,1,4,18,74
round_shots,200,200,100,100
round_queries,200,600,1300,18700
round_k,1,6,23,93
round_shots,100,100,100,200,100
round_queries,100,300,900,5800,42500
round_k,1,4,14,51,212
round_shots,200,100,200,100,100
round_queries,200,300,1800,2900,40300
round_k,1,4,14,48,201
round_shots,200,100,300,100
round_queries,200,300,2700,23700
round_k,1,4,14,118
round_shots,200,100,200,200,100
round_queries,200,300,1800,7000,58700
round_k,1,4,17,61,293
round_shots,200,100,100,100,100
round_queries,200,300,900,2900,64900
round_k,1,4,14,44,324
round_shots,200,100,200,200,100
round_queries,200,300,1800,5400,34100
round_k,1,4,13,42,170
round_shots,200,200,100,400,100
round_queries,200,600,1100,13200,32700
round_k,1,5,16,54,163
round_shots,100,100,100,400,100
round_queries,100,300,900,13200,32100
round_k,1,4,16,53,160
round_shots,200,100,100,100,100
round_queries,200,300,900,3100,53700
round_k,1,4,15,58,268
round_shots,200,100,100,100,100
round_queries,200,300,900,3300,32900
round_k,1,4,16,53,164
round_shots,200,100,200,400,100
round_queries,200,300,1800,13200,30300
round_k,1,4,16,50,151
round_shots,200,200,100,100,100
round_queries,200,600,1100,3700,68500
round_k,1,5,18,66,342
round_shots,200,200,200,200
round_queries,200,600,2600,37400
round_k,1,6,27,93
round_shots,200,200,200,500,100
round_queries,200,600,2200,18500,48500
round_k,1,5,18,59,242
round_shots,200,100,100,200,100
round_queries,200,300,900,5400,62900
round_k,1,4,13,48,314
round_shots,200,100,100,200,100
round_queries,200,300,900,6600,31500
round_k,1,4,16,52,157
round_shots,100,200,100,100
round_queries,100,600,900,27700
round_k,1,4,15,138
round_shots,100,100,100,100,100
round_queries,100,300,900,3100,35700
round_k,1,4,15,55,178
round_shots,200,200,200,100,100
round_queries,200,600,2200,3700,38100
round_k,1,5,18,63,190
round_shots,200,100,100,200,100
round_queries,200,300,900,5400,49900
round_k,1,4,13,44,249
round_shots,100,200,100,100,200
round_queries,100,600,900,2700,55000
round_k,1,4,13,41,137
round_shots,200,100,200,200,100
round_queries,200,300,1800,8600,51700
round_k,1,4,21,78,258
round_shots,200,100,200,200
round_queries,200,300,1800,33000
round_k,1,4,22,82
round_shots,100,100,200,100,100
round_queries,100,300,1800,3700,53100
round_k,1,4,18,66,265
round_shots,200,100,200,200
round_queries,200,300,1800,33000
round_k,1,4,21,82
round_shots,200,200,100,200
round_queries,200,600,1100,30600
round_k,1,5,20,76
round_shots,200,100,100,100,100
round_queries,200,300,900,2700,30300
round_k,1,4,13,50,151
round_shots,200,100,100,400
round_queries,200,300,900,38000
round_k,1,4,13,47
round_shots,200,100,300,100
round_queries,200,300,2700,24900
round_k,1,4,17,124
round_shots,100,200,200,200
round_queries,100,600,2200,29000
round_k,1,5,21,72
round_shots,200,200,200,200
round_queries,200,600,2200,29800
round_k,1,5,19,74
round_shots,200,100,100,200,100
round_queries,200,300,900,5400,38100
round_k,1,4,13,61,190
round_shots,100,100,200,100
round_queries,100,300,1800,32300
round_k,1,4,23,161
round_shots,100,200,100,100,100
round_queries,100,600,1100,3700,67500
round_k,1,5,18,74,337
round_shots,200,100,100,300
round_queries,200,300,900,33300
round_k,1,4,15,55
round_shots,200,100,100,200,100
round_queries,200,300,900,5400,43300
round_k,1,4,13,63,216
round_shots,200,100,200,200,100
round_queries,200,300,1800,7400,44700
round_k,1,4,18,74,223
round_shots,100,100,100,400,100
round_queries,100,300,900,10800,46500
round_k,1,4,13,43,232
round_shots,200,100,200,500,100
round_queries,200,300,1800,21500,62700
round_k,1,4,21,65,313
round_shots,200,100,100,100,100
round_queries,200,300,900,3100,41500
round_k,1,4,15,55,207
round_shots,100,200,200,300
round_queries,100,600,1800,39900
round_k,1,4,20,66
round_shots,100,200,200,300
round_queries,100,600,2200,39300
round_k,1,5,18,65
round_shots,100,200,100,100,100
round_queries,100,600,900,2700,29100
round_k,1,4,13,45,145
round_shots,200,200,200,200,100
round_queries,200,600,1800,6600,63900
round_k,1,4,16,53,319
round_shots,200,100,200,200
round_queries,200,300,1800,29800
round_k,1,4,16,74
round_shots,200,200,200,300
round_queries,200,600,2200,36300
round_k,1,5,18,60
round_shots,200,100,200,200,100
round_queries,200,300,1800,5400,27300
round_k,1,4,13,45,136
round_shots,200,100,200,300
round_queries,200,300,1800,37500
round_k,1,4,16,62
round_shots,200,200,100,300,100
round_queries,200,600,900,8700,44700
round_k,1,4,14,46,223
round_shots,200,200,200,200
round_queries,200,600,1800,31400
round_k,1,4,20,78
