round_queries,300,300,1300,6300,30300,155300
round_k,0,1,6,31,151,776
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,6300,28900,146500,743100
round_k,0,1,6,31,144,732,3715
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4700,24100,117100,615900
round_k,0,1,5,23,120,585,3079
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5700,27500,134700,705300
round_k,0,1,6,28,137,673,3526
round_shots,300,100,100,100,100,100,100
round_queries,300,300,1300,6300,28700,148100,763100
round_k,0,1,6,31,143,740,3815
round_shots,300,100,100,100,100,100,100
round_queries,300,300,1100,4900,22900,116700,556500
round_k,0,1,5,24,114,583,2782
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5100,24900,130100,682100
round_k,0,1,6,25,124,650,3410
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,6100,27900,141500,732900
round_k,0,1,6,30,139,707,3664
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,4900,23900,111700,507900
round_k,0,1,6,24,119,558,2539
round_shots,100,100,100,100,100,100
round_queries,100,300,1300,6300,29900,155100
round_k,0,1,6,31,149,775
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,6100,27900,146300,754100
round_k,0,1,6,30,139,731,3770
round_shots,300,100,100,100,100,100
round_queries,300,900,3700,17500,88500,462500
round_k,0,4,18,87,442,2312
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1100,4900,23100,116300,609300
round_k,0,1,5,24,115,581,3046
round_shots,300,100,100,100,100,100,100
round_queries,300,300,1300,5100,24700,127300,660900
round_k,0,1,6,25,123,636,3304
round_shots,200,100,100,100,100,100,100
round_queries,200,300,1300,5700,28100,146100,767300
round_k,0,1,6,28,140,730,3836
round_shots,200,100,100,100,100,100
round_queries,200,300,1500,7300,34100,176500
round_k,0,1,7,36,170,882
round_shots,300,100,100,100,100,100,100
round_queries,300,300,1100,5300,25300,120900,620700
round_k,0,1,5,26,126,604,3103
round_shots,200,100,100,100,100,100
round_queries,200,300,1500,6500,31500,163900
round_k,0,1,7,32,157,819
round_shots,300,100,100,100,100,100
round_queries,300,300,1300,6500,33300,170900
round_k,0,1,6,32,166,854
round_shots,200,200,100,100,100,100
round_queries,200,600,1500,6300,29900,148300
round_k,0,1,7,31,149,741
round_shots,400,100,100,100,100,100
round_queries,400,900,3900,19100,97500,504900
round_k,0,4,19,95,487,2524
round_shots,100,100,100,100,100,100,100
round_queries,100,300,1300,5900,27300,141700,746300
round_k,0,1,6,29,136,708,3731
round_shots,200,100,100,100,100,100
round_queries,200,300,1300,6500,32500,167300
