round_k,2,9,30,91,291,881,2644
round_shots,571,121,135,107,78,96,24
round_queries,571,605,2025,5029,11778,45408,105432
round_k,2,7,23,75,236,720,2196
round_shots,702,225,111,81,142,153,5
round_queries,702,1125,2553,6399,34506,114597,33775
round_k,2,11,39,121,374,1123,3377
round_shots,573,160,91,106,83,191,53,4
round_queries,573,480,819,2862,6889,49087,42347,28980
round_k,1,4,13,41,128,399,1207,3622
round_shots,665,152,117,89,74,63,14
round_queries,665,760,2223,5429,13986,36225,72954
round_k,2,9,30,94,287,866,2605
round_shots,807,318,109,78,84,54,4
round_queries,807,1590,2943,6474,21252,42606,28852
round_k,2,13,41,126,394,1185,3606
round_shots,825,146,110,79,72,82,13
round_queries,825,730,2090,4819,13176,45510,67249
round_k,2,9,30,91,277,833,2586
round_shots,841,202,148,91,76,61,6
round_queries,841,1010,2812,5915,14820,37881,34494
round_k,2,9,32,97,310,950,2874
round_shots,530,330,263,111,73,75,16
round_queries,530,1650,4471,5661,11315,36975,72432
round_k,2,8,25,77,246,754,2263
round_shots,468,266,102,81,74,80,5
round_queries,468,1330,2346,6075,16946,55600,32355
round_k,2,11,37,114,347,1078,3235
round_shots,646,172,84,91,195,159,16
round_queries,646,860,1596,5187,34905,85383,77520
round_k,2,9,28,89,268,807,2422
round_shots,953,329,80,93,83,56,6
round_queries,953,1645,2160,7533,20335,43848,44370
round_k,2,13,40,122,391,1199,3697
round_shots,819,170,82,81,111,97,4
round_queries,819,850,1558,4617,19425,54417,21212
round_k,2,9,28,87,280,856,2651
round_shots,566,332,152,190,166,60,17
round_queries,566,1660,2584,9690,27058,30660,80971
round_k,2,8,25,81,255,789,2381
round_shots,864,132,195,163,128,87,11
round_queries,864,660,2925,8313,22400,49503,57827
round_k,2,7,25,87,284,859,2628
round_shots,666,185,101,107,84,78,4
round_queries,666,925,1919,6527,16716,47502,22204
round_k,2,9,30,99,304,919,2775
round_shots,658,231,130,85,78,67,13
round_queries,658,1155,2470,5185,14274,37319,66885
round_k,2,9,30,91,278,836,2572
