round_shots,134,77,3
round_queries,134,385,177
round_k,2,9,29
round_shots,191,61,3
round_queries,191,305,177
round_k,2,9,29
round_shots,135,81,4
round_queries,135,405,244
round_k,2,9,30
round_shots,136,48,5
round_queries,136,240,265
round_k,2,8,26
round_shots,243,64,3
round_queries,243,320,171
round_k,2,9,28
round_shots,277,67,4
round_queries,277,335,244
round_k,2,9,30
round_shots,274,63,5
round_queries,274,315,265
round_k,2,8,26
round_shots,243,84,4
round_queries,243,420,244
round_k,2,9,30
round_shots,141,73,5
round_queries,141,365,265
round_k,2,8,26
round_shots,308,74,4
round_queries,308,370,236
round_k,2,9,29
round_shots,291,53,3
round_queries,291,265,165
round_k,2,8,27
round_shots,138,68,4
round_queries,138,340,244
round_k,2,9,30
round_shots,243,81,4
round_queries,243,405,244
round_k,2,9,30
round_shots,301,29
round_queries,301,725
round_k,3,12
round_shots,233,101,4
round_queries,233,505,244
round_k,2,9,30
round_shots,256,29
round_queries,256,725
round_k,3,12
round_shots,298,51,1
round_queries,298,357,75
round_k,3,12,37
round_shots,301,62,3
round_queries,301,310,165
round_k,2,8,27
round_shots,141,48,5
round_queries,141,240,265
round_k,2,8,26
round_shots,286,65,2
round_queries,286,455,142
round_k,3,11,35
round_shots,147,81,4
round_queries,147,405,244
round_k,2,9,30
round_shots,288,74,4
round_queries,288,370,244
round_k,2,9,30
round_shots,191,94,6
round_queries,191,470,306
round_k,2,8,25
round_shots,278,59,1
round_queries,278,413,75
round_k,3,11,37
round_shots,205,82,5
round_queries,205,410,265
round_k,2,8,26
round_shots,294,71,3
round_queries,294,355,183
round_k,2,9,30
round_shots,170,57,5
round_queries,170,285,265
round_k,2,8,26
round_shots,159,67,4
round_queries,159,335,236
round_k,2,9,29
round_shots,271,91,4
round_queries,271,455,236
round_k,2,9,29
round_shots,294,67,3
round_queries,294,335,171
round_k,2,9,28
round_shots,386,29
round_queries,386,725
round_k,3,12
round_shots,362,29
round_queries,362,725
round_k,3,12
round_shots,219,48,5
round_queries,219,240,265
round_k,2,8,26
round_shots,340,35
round_queries,340,805
round_k,3,11
round_shots,153,57,5
round_queries,153,285,265
round_k,2,8,26
round_shots,216,67,4
round_queries,216,335,236
round_k,2,9,29
round_shots,156,108,4
round_queries,156,540,236
round_k,2,9,29
round_shots,261,29
round_queries,261,725
round_k,3,12
round_shots,308,93,5
round_queries,308,465,265
round_k,2,8,26
round_shots,336,29
round_queries,336,725
round_k,3,12
round_shots,355,71,5
round_queries,355,355,265
round_k,2,8,26
round_shots,170,48,3
round_queries,170,240,165
round_k,2,8,27
round_shots,240,60,3
round_queries,240,300,177
round_k,2,9,29
round_shots,243,66,4
round_queries,243,330,236
round_k,2,8,29
round_shots,219,48,4
round_queries,219,240,212
round_k,2,8,26
round_shots,259,29
round_queries,259,725
round_k,3,12
round_shots,184,53
round_queries,184,1007
round_k,2,9
round_shots,164,81,1
round_queries,164,405,75
round_k,2,9,37
round_shots,318,35
round_queries,318,805
round_k,3,11
round_shots,135,53
round_queries,135,1007
round_k,2,9
round_shots,271,35
round_queries,271,805
round_k,3,11
round_shots,143,74,4
round_queries,143,370,212
round_k,2,8,26
round_shots,294,66,5
round_queries,294,330,265
round_k,2,8,26
round_shots,141,61,5
round_queries,141,305,265
round_k,2,8,26
round_shots,134,64,3
round_queries,134,320,177
round_k,2,9,29
round_shots,138,81,4
round_queries,138,405,244
round_k,2,9,30
round_shots,257,74,3
round_queries,257,370,165
round_k,2,8,27
round_shots,341,53
round_queries,341,1007
round_k,2,9
round_shots,302,29
round_queries,302,725
round_k,3,12
round_shots,184,68
round_queries,184,1156
round_k,2,8
round_shots,209,53,5
round_queries,209,265,275
round_k,2,8,27
round_shots,257,82,3
round_queries,257,410,183
round_k,2,9,30
round_shots,256,29
round_queries,256,725
round_k,3,12
round_shots,134,50,5
round_queries,134,250,265
round_k,2,8,26
round_shots,340,35
round_queries,340,805
round_k,3,11
round_shots,156,101,3
round_queries,156,505,183
round_k,2,9,30
round_shots,202,48,5
round_queries,202,240,265
round_k,2,8,26
round_shots,271,35
round_queries,271,805
round_k,3,11
