round_k,0,1,4,13,31
round_shots,30,70,16,20,5
round_queries,30,210,208,540,295
round_k,0,1,6,13,29
round_shots,143,62,23,18
round_queries,143,186,299,594
round_k,0,1,6,16
round_shots,109,60,28,14,9
round_queries,109,180,308,322,423
round_k,0,1,5,11,23
round_shots,38,80,26,14
round_queries,38,240,390,518
round_k,0,1,7,18
round_shots,42,50,14,16,8
round_queries,42,150,154,368,392
round_k,0,1,5,11,24
round_shots,97,78,27,15
round_queries,97,234,351,555
round_k,0,1,6,18
round_shots,139,55,19,14,5
round_queries,139,165,209,350,255
round_k,0,1,5,12,25
round_shots,44,50,20,25,5
round_queries,44,150,220,625,295
round_k,0,1,5,12,29
round_shots,75,70,27,11
round_queries,75,210,351,385
round_k,0,1,6,17
round_shots,109,20,23,19,8
round_queries,109,60,207,437,392
round_k,0,1,4,11,24
round_shots,171,45,18,19,8
round_queries,171,135,198,437,392
round_k,0,1,5,11,24
round_shots,153,102,26,12
round_queries,153,306,390,492
round_k,0,1,7,20
round_shots,72,62,30,15
round_queries,72,186,390,555
round_k,0,1,6,18
round_shots,90,63,27,14
round_queries,90,189,351,518
round_k,0,1,6,18
round_shots,101,50,14,17,5
round_queries,101,150,154,391,255
round_k,0,1,5,11,25
round_shots,66,87,26,13
round_queries,66,261,390,507
round_k,0,1,7,19
round_shots,212,55,16,17,9
round_queries,212,165,176,391,423
round_k,0,1,5,11,23
round_shots,48,95,12,15
round_queries,48,285,180,525
round_k,0,1,7,17
round_shots,45,87,23,14,2
round_queries,45,261,345,518,150
round_k,0,1,7,18,37
round_shots,35,62,17,11,3
round_queries,35,186,221,297,177
round_k,0,1,6,13,29
round_shots,93,87,25,13
round_queries,93,261,375,507
round_k,0,1,7,19
round_shots,30,62,31,15
round_queries,30,186,403,555
round_k,0,1,6,18
round_shots,69,66,27,14,2
round_queries,69,198,351,518,150
round_k,0,1,6,18,37
round_shots,38,50,22,16,7
round_queries,38,150,242,400,371
round_k,0,1,5,12,26
round_shots,30,70,25,18
round_queries,30,210,325,594
round_k,0,1,6,16
round_shots,81,80,12,15,3
round_queries,81,240,180,525,213
round_k,0,1,7,17,35
round_shots,157,98,12,16
round_queries,157,294,180,560
round_k,0,1,7,17
round_shots,30,66,26,18
round_queries,30,198,338,594
round_k,0,1,6,16
round_shots,263,29,14,8
round_queries,263,261,322,376
round_k,0,4,11,23
round_shots,51,46,19,19,7
round_queries,51,138,209,475,357
round_k,0,1,5,12,25
round_shots,222,91,12,16
round_queries,222,273,180,560
round_k,0,1,7,17
round_shots,104,64,27,14,2
round_queries,104,192,351,518,150
round_k,0,1,6,18,37
round_shots,191,47,17,23,3
round_queries,191,141,187,575,183
round_k,0,1,5,12,30
round_shots,60,45,14,19,7
round_queries,60,135,154,437,371
round_k,0,1,5,11,26
round_shots,57,91,23,15
round_queries,57,273,345,555
round_k,0,1,7,18
round_shots,130,62,18,21,5
round_queries,130,186,234,567,305
round_k,0,1,6,13,30
round_shots,54,50,17,21,5
round_queries,54,150,187,525,305
round_k,0,1,5,12,30
round_shots,36,45,22,19,9
round_queries,36,135,242,437,423
round_k,0,1,5,11,23
round_shots,177,50,23,12,4
round_queries,177,150,253,348,252
round_k,0,1,5,14,31
round_shots,129,103,18,13
round_queries,129,309,306,507
round_k,0,1,8,19
round_shots,30,70,20,20,3
round_queries,30,210,260,540,177
round_k,0,1,6,13,29
round_shots,142,20,19,21,8
