round_k,0,2,6,13,30
round_shots,164,51,21,9
round_queries,164,255,399,423
round_k,0,2,9,23
round_shots,93,20,25,16,7
round_queries,93,60,225,368,357
round_k,0,1,4,11,25
round_shots,89,21,26,16,7
round_queries,89,105,286,368,357
round_k,0,2,5,11,25
round_shots,84,45,18,18
round_queries,84,225,270,594
round_k,0,2,7,16
round_shots,144,42,21,24,7
round_queries,144,126,189,456,357
round_k,0,1,4,9,25
round_shots,98,35,20,24,8
round_queries,98,105,180,456,328
round_k,0,1,4,9,20
round_shots,20,20,32,20,4
round_queries,20,60,288,540,260
round_k,0,1,4,13,32
round_shots,84,48,19,17,3
round_queries,84,240,285,561,207
round_k,0,2,7,16,34
round_shots,124,42,26,19,6
round_queries,124,126,234,437,330
round_k,0,1,4,11,27
round_shots,119,48,18,16,3
round_queries,119,240,270,528,213
round_k,0,2,7,16,35
round_shots,119,34,20,13,3
round_queries,119,170,260,403,195
round_k,0,2,6,15,32
round_shots,84,23,20,17,5
round_queries,84,115,260,459,295
round_k,0,2,6,13,29
round_shots,109,54,21,9
round_queries,109,270,399,423
round_k,0,2,9,23
round_shots,91,50,22,16,2
round_queries,91,250,286,528,146
round_k,0,2,6,16,36
round_shots,184,31,23,15,5
round_queries,184,155,253,435,305
round_k,0,2,5,14,30
round_shots,98,19,18,16,5
round_queries,98,95,198,368,255
round_k,0,2,5,11,25
round_shots,126,48,17,11
round_queries,126,240,323,473
round_k,0,2,9,21
round_shots,114,44,16,18,3
round_queries,114,220,208,486,189
round_k,0,2,6,13,31
round_shots,119,28,23,20,8
round_queries,119,84,207,460,376
round_k,0,1,4,11,23
round_shots,129,20,22,19,6
round_queries,129,60,198,361,270
round_k,0,1,4,9,22
round_shots,98,39,22,15
round_queries,98,195,330,555
round_k,0,2,7,18
round_shots,107,33,20,17,6
round_queries,107,165,260,459,330
round_k,0,2,6,13,27
round_shots,66,28,36,15,6
round_queries,66,84,324,405,330
round_k,0,1,4,13,27
round_shots,129,20,33,20,6
round_queries,129,60,297,540,330
round_k,0,1,4,13,27
round_shots,119,48,22,18
round_queries,119,240,286,594
round_k,0,2,6,16
round_shots,109,20,17,17,11
round_queries,109,60,153,323,473
round_k,0,1,4,9,21
round_shots,102,17,23,17,5
round_queries,102,85,253,493,305
round_k,0,2,5,14,30
round_shots,80,26,22,18
round_queries,80,130,286,594
round_k,0,2,6,16
round_shots,91,44,27,15,4
round_queries,91,220,351,405,220
round_k,0,2,6,13,27
round_shots,117,55,18,18,2
round_queries,117,275,234,522,134
round_k,0,2,6,14,33
round_shots,101,36,24,13
round_queries,101,180,360,507
