round_k,1,11,34,104,317
round_shots,78,303,59,34,3
round_queries,78,909,1239,2482,1995
round_k,1,10,36,109,332
round_shots,90,272,78,40,2
round_queries,90,816,1482,2920,1442
round_k,1,9,36,117,360
round_shots,73,428,51,31
round_queries,73,1284,1275,7471
round_k,1,12,39,120
round_shots,69,187,78,50,15
round_queries,69,561,702,1650,4995
round_k,1,4,16,54,166
round_shots,138,431,39,66,18
round_queries,138,1293,351,1782,5454
round_k,1,4,13,49,151
round_shots,123,364,51,40,2
round_queries,123,1092,1173,3000,1442
round_k,1,11,37,116,360
round_shots,120,342,47,40,29
round_queries,120,1026,423,1080,7279
round_k,1,4,13,40,125
round_shots,108,375,66,25
round_queries,108,1125,1518,6675
round_k,1,11,42,133
round_shots,81,493,57,57,18
round_queries,81,1479,513,1653,5598
round_k,1,4,14,48,155
round_shots,158,449,47,62,19
round_queries,158,1347,423,1674,5757
round_k,1,4,13,49,151
round_shots,188,235,57,59,18
round_queries,188,705,513,1711,5634
round_k,1,4,14,50,156
round_shots,73,249,57,57,18
round_queries,73,747,513,1653,5562
round_k,1,4,14,50,154
round_shots,70,414,55,64,18
round_queries,70,1242,495,1728,5598
round_k,1,4,13,50,155
round_shots,220,289,57,55,20
round_queries,220,867,513,1595,5980
round_k,1,4,14,49,149
round_shots,120,462,47,39,1
round_queries,120,1386,1175,3003,749
round_k,1,12,38,120,374
round_shots,105,259,64,58,17
round_queries,105,777,576,1682,5423
round_k,1,4,14,49,159
round_shots,105,439,62,25
round_queries,105,1317,1550,6675
round_k,1,12,44,133
round_shots,84,409,58,36,1
round_queries,84,1227,1334,2772,727
round_k,1,11,38,115,363
round_shots,132,335,57,63,22
round_queries,132,1005,513,1827,6182
round_k,1,4,14,43,140
round_shots,67,98,64,54,24
round_queries,67,294,576,1566,6552
round_k,1,4,14,43,136
round_shots,143,478,45,40,2
round_queries,143,1434,1125,3000,1446
round_k,1,12,37,117,361
round_shots,99,426,47,38,1
round_queries,99,1278,1175,2926,725
round_k,1,12,38,119,362
round_shots,110,396,47,44,25
round_queries,110,1188,423,1188,6625
round_k,1,4,13,40,132
round_shots,81,361,44,38,3
round_queries,81,1083,1012,2698,1995
round_k,1,11,35,107,332
round_shots,204,253,59,43,2
round_queries,204,759,1121,2795,1274
round_k,1,9,32,105,318
round_shots,70,387,51,41,2
round_queries,70,1161,1173,3075,1442
round_k,1,11,37,119,360
round_shots,62,350,57,38,2
round_queries,62,1050,1197,2698,1354
round_k,1,10,35,109,338
round_shots,62,361,61,34,1
round_queries,62,1083,1403,2686,733
round_k,1,11,39,118,366
round_shots,138,376,71,55,15
round_queries,138,1128,639,1705,5055
round_k,1,4,15,53,168
round_shots,70,322,55,69,16
round_queries,70,966,495,1863,5264
round_k,1,4,13,51,164
round_shots,181,205,47,69,17
round_queries,181,615,423,1863,5389
round_k,1,4,13,51,158
round_shots,67,224,39,42,30
round_queries,67,672,351,1134,7350
round_k,1,4,13,40,122
round_shots,75,369,57,27
round_queries,75,1107,1311,6993
round_k,1,11,39,129
round_shots,76,187,47,63,18
round_queries,76,561,423,1701,5598
round_k,1,4,13,48,155
round_shots,150,204,65,47,4
round_queries,150,612,1105,2397,2060
round_k,1,8,25,85,257
round_shots,105,343,39,42,26
round_queries,105,1029,351,1134,6838
round_k,1,4,13,40,131
round_shots,156,442,66,21
round_queries,156,1326,1650,6069
round_k,1,12,46,144
round_shots,70,302,53,43,3
round_queries,70,906,1113,2967,1989
round_k,1,10,34,110,331
round_shots,114,253,70,36,2
round_queries,114,759,1330,2556,1278
round_k,1,9,35,106,319
round_shots,84,426,51,29
round_queries,84,1278,1275,7279
round_k,1,12,39,125
round_shots,101,418,58,36,2
round_queries,101,1254,1334,2844,1438
round_k,1,11,39,118,359
round_shots,99,364,49,41,2
round_queries,99,1092,1127,2993,1406
round_k,1,11,36,116,351
round_shots,119,314,60,41,1
round_queries,119,942,1260,3075,751
round_k,1,10,37,123,375
round_shots,70,475,30,40,27
round_queries,70,1425,270,1080,6939
round_k,1,4,13,40,128
round_shots,70,305,56,38,2
round_queries,70,915,1176,2698,1314
round_k,1,10,35,109,328
round_shots,113,429,68,20
round_queries,113,1287,1700,5860
round_k,1,12,47,146
round_shots,131,275,44,40,3
round_queries,131,825,836,2280,1659
round_k,1,9,28,88,276
round_shots,66,372,57,29
round_queries,66,1116,1311,7221
round_k,1,11,39,124
round_shots,138,426,47,43,3
round_queries,138,1278,1081,2967,1989
round_k,1,11,34,110,331
round_shots,123,480,30,64,28
round_queries,123,1440,270,1728,7140
round_k,1,4,13,40,127
round_shots,78,372,49,37,2
round_queries,78,1116,1127,2701,1366
round_k,1,11,36,112,341
round_shots,70,421,54,34,2
round_queries,70,1263,1242,2618,1402
round_k,1,11,38,115,350
round_shots,141,184,30,64,17
round_queries,141,552,270,1728,5355
round_k,1,4,13,50,157
round_shots,141,387,30,57,21
round_queries,141,1161,270,1539,6069
round_k,1,4,13,46,144
round_shots,93,404,66,24
round_queries,93,1212,1518,6552
round_k,1,11,42,136
round_shots,87,364,54,41,1
round_queries,87,1092,1242,3157,761
round_k,1,11,38,121,380
round_shots,87,359,57,67,14
round_queries,87,1077,513,1943,4802
round_k,1,4,14,54,171
round_shots,96,308,69,42,1
round_queries,96,924,1449,3150,749
round_k,1,10,37,122,374
round_shots,62,364,44,45,2
round_queries,62,1092,1012,3105,1274
round_k,1,11,34,103,318
round_shots,129,231,73,43,3
round_queries,129,693,1241,2795,1965
round_k,1,8,32,105,327
round_shots,87,404,30,64,16
round_queries,87,1212,270,1728,5200
round_k,1,4,13,50,162
round_shots,70,426,47,42,1
round_queries,70,1278,1175,3150,733
round_k,1,12,37,121,366
round_shots,140,332,57,60,17
round_queries,140,996,513,1740,5355
round_k,1,4,14,52,157
round_shots,153,434,47,41,1
round_queries,153,1302,1175,3157,739
round_k,1,12,38,122,369
round_shots,207,453,44,41,1
round_queries,207,1359,1100,3075,747
round_k,1,12,37,123,373
round_shots,128,324,55,59,20
round_queries,128,972,495,1593,5860
round_k,1,4,13,46,146
round_shots,72,284,69,41,2
round_queries,72,852,1311,2911,1402
round_k,1,9,35,114,350
round_shots,96,211,37,47,5
round_queries,96,633,629,2397,2625
round_k,1,8,25,85,262
round_shots,75,390,39,65,19
round_queries,75,1170,351,1755,5833
round_k,1,4,13,50,153
round_shots,80,435,47,64,39,1
round_queries,80,1305,423,1728,3159,739
round_k,1,4,13,40,122,369
round_shots,86,401,51,38,2
round_queries,86,1203,1173,2774,1422
round_k,1,11,36,114,355
round_shots,102,473,55,41,1
round_queries,102,1419,1375,3075,735
round_k,1,12,37,120,367
round_shots,78,79,30,44,27
round_queries,78,237,270,1188,6993
round_k,1,4,13,41,129
round_shots,73,335,73,51,16
round_queries,73,1005,657,1683,5264
round_k,1,4,16,53,164
round_shots,69,361,51,30
round_queries,69,1083,1173,7350
round_k,1,11,37,122
round_shots,67,166,47,64,20
round_queries,67,498,423,1728,5900
round_k,1,4,13,47,147
round_shots,70,164,39,68,40,1
round_queries,70,492,351,1836,3240,731
round_k,1,4,13,40,121,365
round_shots,80,281,30,57,21
round_queries,80,843,270,1539,6153
round_k,1,4,13,47,146
round_shots,147,297,79,37,2
round_queries,147,891,1501,2775,1414
round_k,1,9,37,115,353
