round_shots,391,29
round_queries,391,725
round_k,3,12
round_shots,261,25
round_queries,261,675
round_k,3,13
round_shots,481,29
round_queries,481,725
round_k,3,12
round_shots,415,23
round_queries,415,621
round_k,3,13
round_shots,359,35
round_queries,359,805
round_k,3,11
round_shots,252,26,16
round_queries,252,78,528
round_k,1,4,16
round_shots,416,42,18
round_queries,416,126,558
round_k,1,4,15
round_shots,498,16
round_queries,498,528
round_k,4,16
round_shots,174,49,16
round_queries,174,147,528
round_k,1,4,16
round_shots,376,62,18
round_queries,376,186,558
round_k,1,4,15
round_shots,365,29
round_queries,365,725
round_k,3,12
round_shots,343,35
round_queries,343,805
round_k,3,11
round_shots,209,24,7
round_queries,209,120,329
round_k,2,7,23
round_shots,417,29
round_queries,417,725
round_k,3,12
round_shots,336,65,2
round_queries,336,455,142
round_k,3,11,35
round_shots,260,35
round_queries,260,805
round_k,3,11
round_shots,342,57,1
round_queries,342,399,75
round_k,3,12,37
round_shots,223,33,5
round_queries,223,165,235
round_k,2,7,23
round_shots,54,35,18
round_queries,54,105,558
round_k,1,4,15
round_shots,420,63,2
round_queries,420,441,142
round_k,3,11,35
round_shots,368,59,2
round_queries,368,413,138
round_k,3,11,34
round_shots,293,29
round_queries,293,725
round_k,3,12
round_shots,298,35
round_queries,298,805
round_k,3,11
round_shots,304,26,16
round_queries,304,78,528
round_k,1,4,16
round_shots,383,62,16
round_queries,383,186,528
round_k,1,4,16
round_shots,330,68,1
round_queries,330,476,75
round_k,3,12,37
round_shots,371,50,1
round_queries,371,350,73
round_k,3,11,36
round_shots,239,56,16
round_queries,239,168,528
round_k,1,4,16
round_shots,330,49,16
round_queries,330,147,528
round_k,1,4,16
round_shots,402,26,16
round_queries,402,78,528
round_k,1,4,16
round_shots,423,25
round_queries,423,675
round_k,3,13
round_shots,324,51,1
round_queries,324,357,75
round_k,3,12,37
round_shots,473,16
round_queries,473,528
round_k,4,16
round_shots,455,16
round_queries,455,528
round_k,4,16
round_shots,56,35,25
round_queries,56,105,675
round_k,1,4,13
round_shots,417,35
round_queries,417,805
round_k,3,11
round_shots,359,51,2
round_queries,359,357,126
round_k,3,10,31
round_shots,287,35,18
round_queries,287,105,558
round_k,1,4,15
round_shots,48,35,18
round_queries,48,105,558
round_k,1,4,15
round_shots,330,29
round_queries,330,725
round_k,3,12
round_shots,289,25
round_queries,289,675
round_k,3,13
round_shots,446,48,2
round_queries,446,336,142
round_k,3,11,35
round_shots,481,62,1
round_queries,481,434,75
round_k,3,12,37
round_shots,193,35,16
round_queries,193,105,528
round_k,1,4,16
round_shots,504,16
round_queries,504,528
round_k,4,16
round_shots,265,29
round_queries,265,725
round_k,3,12
round_shots,383,26,18
round_queries,383,78,558
round_k,1,4,15
round_shots,291,40,6
round_queries,291,200,294
round_k,2,7,24
round_shots,324,35,16
round_queries,324,105,528
round_k,1,4,16
round_shots,432,35
round_queries,432,805
round_k,3,11
round_shots,256,29
round_queries,256,725
round_k,3,12
round_shots,409,35
round_queries,409,805
round_k,3,11
round_shots,313,35,16
round_queries,313,105,528
round_k,1,4,16
round_shots,395,26,25
round_queries,395,78,675
round_k,1,4,13
round_shots,263,35,23
round_queries,263,105,621
round_k,1,4,13
round_shots,336,35
round_queries,336,805
round_k,3,11
round_shots,390,56,18
round_queries,390,168,558
round_k,1,4,15
round_shots,368,62,18
round_queries,368,186,558
round_k,1,4,15
round_shots,295,35
round_queries,295,805
round_k,3,11
round_shots,291,33,6
round_queries,291,165,294
round_k,2,7,24
round_shots,445,16
round_queries,445,528
round_k,4,16
round_shots,256,29
round_queries,256,725
round_k,3,12
round_shots,318,59,1
round_queries,318,413,73
round_k,3,11,36
round_shots,345,35,18
round_queries,345,105,558
round_k,1,4,15
round_shots,172,49,18
round_queries,172,147,558
round_k,1,4,15
round_shots,167,35,16
round_queries,167,105,528
round_k,1,4,16
round_shots,50,42,16
round_queries,50,126,528
round_k,1,4,16
round_shots,334,29
round_queries,334,725
round_k,3,12
round_shots,298,29
round_queries,298,725
round_k,3,12
round_shots,440,29
round_queries,440,725
round_k,3,12
round_shots,396,56,25
round_queries,396,168,675
round_k,1,4,13
round_shots,391,35
round_queries,391,805
round_k,3,11
round_shots,295,29
round_queries,295,725
round_k,3,12
round_shots,339,29
round_queries,339,725
round_k,3,12
round_shots,440,29
round_queries,440,725
round_k,3,12
round_shots,383,35
round_queries,383,805
round_k,3,11
round_shots,304,26,16
round_queries,304,78,528
round_k,1,4,16
round_shots,187,63,16
round_queries,187,189,528
round_k,1,5,16
round_shots,166,26,18
round_queries,166,78,558
round_k,1,4,15
round_shots,475,54,2
round_queries,475,378,142
round_k,3,11,35
round_shots,295,29
round_queries,295,725
round_k,3,12
round_shots,318,29
round_queries,318,725
round_k,3,12
round_shots,324,35
round_queries,324,805
round_k,3,11
round_shots,180,26,16
round_queries,180,78,528
round_k,1,4,16
round_shots,321,29
round_queries,321,725
round_k,3,12
round_shots,458,25
round_queries,458,675
round_k,4,13
round_shots,400,35,16
round_queries,400,105,528
round_k,1,4,16
round_shots,348,29
round_queries,348,725
round_k,3,12
round_shots,382,62,16
round_queries,382,186,528
round_k,1,4,16
round_shots,297,49,25
round_queries,297,147,675
round_k,1,4,13
round_shots,256,53,1
round_queries,256,371,75
round_k,3,12,37
round_shots,196,42,16
round_queries,196,126,528
round_k,1,4,16
round_shots,135,42,25
round_queries,135,126,675
round_k,1,4,13
round_shots,145,69,16
round_queries,145,207,528
round_k,1,4,16
round_shots,394,29
round_queries,394,725
round_k,3,12
round_shots,426,35
round_queries,426,805
round_k,3,11
round_shots,250,24,6
round_queries,250,120,306
round_k,2,7,25
round_shots,173,42,17
round_queries,173,126,459
round_k,1,4,13
round_shots,256,42,1
round_queries,256,294,73
round_k,3,11,36
round_shots,286,42,16
round_queries,286,126,528
round_k,1,4,16
round_shots,348,42,18
round_queries,348,126,558
round_k,1,4,15
round_shots,280,29
round_queries,280,725
round_k,3,12
round_shots,259,29
round_queries,259,725
round_k,3,12
round_shots,283,64,14
round_queries,283,192,490
round_k,1,5,17
round_shots,256,62,2
round_queries,256,434,138
round_k,3,11,34
round_shots,348,35
round_queries,348,805
round_k,3,11
round_shots,270,35,16
round_queries,270,105,528
round_k,1,4,16
round_shots,498,16
round_queries,498,528
round_k,4,16
round_shots,200,35,16
round_queries,200,105,528
round_k,1,4,16
round_shots,501,13
round_queries,501,403
round_k,4,15
round_shots,423,54,1
round_queries,423,378,75
round_k,3,12,37
round_shots,398,42,16
round_queries,398,126,528
round_k,1,4,16
round_shots,359,25
round_queries,359,675
round_k,3,13
round_shots,190,42,16
round_queries,190,126,528
round_k,1,4,16
round_shots,347,35,16
round_queries,347,105,528
round_k,1,4,16
round_shots,469,29
round_queries,469,725
round_k,3,12
round_shots,449,65,1
round_queries,449,455,75
round_k,3,12,37
round_shots,352,56,16
round_queries,352,168,528
round_k,1,4,16
round_shots,321,50,1
round_queries,321,350,75
round_k,3,11,37
round_shots,336,29
round_queries,336,725
round_k,3,12
round_shots,339,29
round_queries,339,725
round_k,3,12
round_shots,208,49,13
round_queries,208,147,403
round_k,1,4,15
round_shots,253,26,18
round_queries,253,78,558
round_k,1,4,15
round_shots,246,69,16
round_queries,246,207,528
round_k,1,4,16
round_shots,106,49,25
round_queries,106,147,675
round_k,1,4,13
round_shots,303,29
round_queries,303,725
round_k,3,12
round_shots,259,46,1
round_queries,259,322,73
round_k,3,11,36
round_shots,397,29
round_queries,397,725
round_k,3,12
round_shots,291,46,2
round_queries,291,322,126
round_k,3,10,31
round_shots,179,49,25
round_queries,179,147,675
round_k,1,4,13
round_shots,259,25
round_queries,259,675
round_k,3,13
round_shots,213,42,16
round_queries,213,126,528
round_k,1,4,16
round_shots,317,35
round_queries,317,805
round_k,3,11
round_shots,275,26,16
round_queries,275,78,528
round_k,1,4,16
round_shots,357,59,1
round_queries,357,413,75
round_k,3,12,37
round_shots,265,54,2
round_queries,265,378,142
round_k,3,11,35
round_shots,255,26,16
round_queries,255,78,528
round_k,1,4,16
round_shots,417,49,16
round_queries,417,147,528
round_k,1,4,16
round_shots,256,29
round_queries,256,725
round_k,3,12
