round_queries,88,1707,1932,8393,2133
round_k,1,11,38,118,355
round_shots,176,573,81,62,6
round_queries,176,1719,1701,4278,3954
round_k,1,10,34,106,329
round_shots,178,650,69,74,7
round_queries,178,1950,1725,5698,5229
round_k,1,12,38,122,373
round_shots,176,684,105,62,56
round_queries,176,2052,945,1674,14728
round_k,1,4,13,40,131
round_shots,268,592,134,116,3
round_queries,268,1776,3082,9628,2301
round_k,1,11,41,127,383
round_shots,239,585,70,69,5
round_queries,239,1755,1610,4899,3365
round_k,1,11,35,111,336
round_shots,138,591,74,67,10
round_queries,138,1773,1554,4355,6490
round_k,1,10,32,107,324
round_shots,150,724,77,42
round_queries,150,2172,1925,11214
round_k,1,12,40,133
round_shots,240,505,162,60,58
round_queries,240,1515,1458,1620,15138
round_k,1,4,13,40,130
round_shots,188,706,91,97,37
round_queries,188,2118,819,2619,11063
round_k,1,4,13,48,149
round_shots,164,749,89,42
round_queries,164,2247,2225,11130
round_k,1,12,42,132
round_shots,176,665,69,57,10
round_queries,176,1995,1587,3933,6270
round_k,1,11,34,103,313
round_shots,239,659,97,35
round_queries,239,1977,2425,10045
round_k,1,12,45,143
round_shots,88,606,84,106,4
round_queries,88,1818,1932,8162,2940
round_k,1,11,38,119,367
round_shots,304,639,97,35
round_queries,304,1917,2425,10115
round_k,1,12,45,144
round_shots,121,367,69,105,33
round_queries,121,1101,621,2835,9801
round_k,1,4,13,48,148
round_shots,94,553,105,99,34
round_queries,94,1659,945,2673,9962
round_k,1,4,13,47,146
round_shots,215,705,69,98
round_queries,215,2115,1725,24794
round_k,1,12,38,126
round_shots,155,572,87,69,4
round_queries,155,1716,2001,5313,2996
round_k,1,11,38,124,374
round_shots,90,309,91,97,49
round_queries,90,927,819,2619,14847
round_k,1,4,13,49,151
round_shots,200,386,84,103,48
round_queries,200,1158,756,2781,15408
round_k,1,4,13,50,160
round_shots,197,511,149,44
round_queries,197,1533,3129,11308
round_k,1,10,39,128
round_shots,215,576,147,85
round_queries,215,1728,3087,20655
round_k,1,10,38,121
round_shots,220,520,136,57,3
round_queries,220,1560,2856,4389,2151
round_k,1,10,38,116,358
round_shots,88,420,233,195,12
round_queries,88,1260,4427,11115,6396
round_k,1,9,28,86,266
round_shots,116,650,99,39
round_queries,116,1950,2475,10725
round_k,1,12,45,137
round_shots,224,592,77,79,3
round_queries,224,1776,1771,5925,2145
round_k,1,11,37,118,357
round_shots,308,671,77,73,3
round_queries,308,2013,1771,5475,2163
round_k,1,11,37,119,360
round_shots,104,502,87,201,7
round_queries,104,1506,1653,12663,4389
round_k,1,9,31,104,313
round_shots,194,664,70,93,4
round_queries,194,1992,1750,7347,2844
round_k,1,12,39,118,355
round_shots,129,651,62,99,3
round_queries,129,1953,1426,6831,2115
round_k,1,11,34,110,352
round_shots,200,465,84,62,54,4
round_queries,200,1395,756,1674,4374,2972
round_k,1,4,13,40,122,371
round_shots,143,344,143,101,31
round_queries,143,1032,1287,2727,9641
round_k,1,4,13,51,155
round_shots,206,563,64,127,9
round_queries,206,1689,1472,8763,6219
round_k,1,11,34,112,345
round_shots,187,514,200,52,9
round_queries,187,1542,3800,3900,6075
round_k,1,9,37,112,337
round_shots,296,651,77,63,4
round_queries,296,1953,1771,4599,2924
round_k,1,11,36,120,365
round_shots,88,518,84,101,30
round_queries,88,1554,756,2727,9450
round_k,1,4,13,49,157
round_shots,203,653,65,95
round_queries,203,1959,1625,23275
round_k,1,12,37,122
round_shots,191,516,143,107,39
round_queries,191,1548,1287,2889,10959
round_k,1,4,13,45,140
round_shots,88,656,67,71,3
round_queries,88,1968,1675,5467,2265
round_k,1,12,38,124,377
round_shots,194,309,105,116,42
round_queries,194,927,945,3132,11214
round_k,1,4,13,44,133
round_shots,239,560,91,73,3
round_queries,239,1680,2093,5621,2241
round_k,1,11,38,121,373
round_shots,166,566,77,54,6
round_queries,166,1698,1771,4050,4134
round_k,1,11,37,113,344
round_shots,121,713,84,58,4
round_queries,121,2139,2100,4814,3068
round_k,1,12,41,126,383
round_shots,106,486,196,79
round_queries,106,1458,4116,21251
round_k,1,10,41,134
round_shots,135,423,105,69,59,4
round_queries,135,1269,945,1863,4897,3044
round_k,1,4,13,41,124,380
round_shots,96,678,70,77,6
round_queries,96,2034,1750,6083,4626
round_k,1,12,39,125,385
round_shots,152,575,86,54,3
round_queries,152,1725,1978,4158,2205
round_k,1,11,38,115,367
round_shots,243,591,101,54,6
round_queries,243,1773,2121,3834,3978
round_k,1,10,35,107,331
round_shots,116,692,99,33
round_queries,116,2076,2475,9801
round_k,1,12,47,148
round_shots,203,645,65,158,3
round_queries,203,1935,1495,11218,2115
round_k,1,11,35,117,352
round_shots,223,603,77,116,36
round_queries,223,1809,693,3132,10260
round_k,1,4,13,44,142
round_shots,118,531,84,95,121
round_queries,118,1593,756,2565,30613
round_k,1,4,13,40,126
round_shots,104,559,98,132,44
round_queries,104,1677,882,3564,11484
round_k,1,4,13,43,130
round_shots,212,236,118,69,138
round_queries,212,708,1062,1863,35190
round_k,1,4,13,42,127
round_shots,124,606,104,53
round_queries,124,1818,2392,13621
round_k,1,11,40,128
round_shots,112,687,112,64,41
round_queries,112,2061,1008,1728,10947
round_k,1,4,13,41,133
round_shots,185,423,125,76,87,6
round_queries,185,1269,1125,2052,7047,4554
round_k,1,4,13,40,126,379
round_shots,127,415,98,64,46
round_queries,127,1245,882,1728,11730
round_k,1,4,13,41,127
round_shots,298,700,70,83,4
round_queries,298,2100,1750,6391,2916
round_k,1,12,38,121,364
round_shots,221,442,137,101,32
round_queries,221,1326,1233,2727,9888
round_k,1,4,13,49,154
round_shots,307,249,77,99,37
round_queries,307,747,693,2673,11285
round_k,1,4,13,47,152
round_shots,130,491,92,64,4
round_queries,130,1473,1932,4544,2828
round_k,1,10,35,117,353
round_shots,169,637,89,119,4
round_queries,169,1911,2047,9163,2884
round_k,1,11,38,118,360
round_shots,102,576,83,95,8
round_queries,102,1728,1743,6365,5208
round_k,1,10,33,106,325
round_shots,209,641,125,60,43
round_queries,209,1923,1125,1620,11309
round_k,1,4,13,40,131
round_shots,167,485,86,72,3
round_queries,167,1455,1806,4968,1989
round_k,1,10,34,108,331
round_shots,94,606,77,65,3
round_queries,94,1818,1771,4875,2025
round_k,1,11,37,112,337
round_shots,90,648,75,55,4
round_queries,90,1944,1875,4455,2916
round_k,1,12,40,121,364
round_shots,170,588,99,77,4
round_queries,170,1764,2079,5621,2852
round_k,1,10,36,116,356
round_shots,299,614,81,57,10
round_queries,299,1842,1863,3933,6530
round_k,1,11,34,105,326
round_shots,152,438,265,122,8
round_queries,152,1314,5035,6954,4376
round_k,1,9,28,88,273
round_shots,185,653,84,45
round_queries,185,1959,2100,11925
round_k,1,12,41,132
round_shots,113,453,218,67,4
round_queries,113,1359,4142,5025,3036
round_k,1,9,37,122,379
round_shots,150,479,179,60,47
round_queries,150,1437,1611,1620,11703
round_k,1,4,13,40,124
round_shots,107,416,144,69,3
round_queries,107,1248,2736,4899,2091
round_k,1,9,35,114,348
round_shots,94,622,98,106,81
round_queries,94,1866,882,2862,23085
round_k,1,4,13,46,142
round_shots,258,606,95,52,4
round_queries,258,1818,2185,4108,2868
round_k,1,11,39,118,358
round_shots,124,566,62,68,7
round_queries,124,1698,1426,4692,4501
round_k,1,11,34,103,321
round_shots,138,639,78,52,3
round_queries,138,1917,1950,4108,2139
round_k,1,12,39,118,356
round_shots,107,506,84,101,33
round_queries,107,1518,756,2727,10065
round_k,1,4,13,50,152
round_shots,149,646,67,75,6
round_queries,149,1938,1675,5775,4422
round_k,1,12,38,122,368
round_shots,414,419,126,87,3
round_queries,414,1257,2394,6003,2103
round_k,1,9,34,109,350
round_shots,107,560,107,56
round_queries,107,1680,2461,14728
round_k,1,11,40,131
round_shots,107,561,76,71,6
round_queries,107,1683,1748,5183,4122
round_k,1,11,36,113,343
round_shots,299,667,101,40
round_queries,299,2001,2525,11400
round_k,1,12,46,142
round_shots,116,648,107,50
round_queries,116,1944,2461,12850
round_k,1,11,40,128
round_shots,130,459,185,60,44
round_queries,130,1377,1665,1620,11660
round_k,1,4,13,40,132
round_shots,188,746,77,66,4
round_queries,188,2238,1925,5346,2932
