round_queries,3800,3500,5100,12300,19800,39800,81400,182600,410200,868200,1970600,4179000,9307400
round_k,0,3,8,20,49,99,203,456,1025,2170,4926,10447,23268
round_shots,2800,400,300,400,300,200,200,200,300,300,300,300,200
round_queries,2800,2800,5100,15600,24300,43400,89800,187800,628500,1416900,2936100,6487500,11209400
round_k,0,3,8,19,40,108,224,469,1047,2361,4893,10812,28023
round_shots,3500,400,400,300,300,300,200,200,200,200,300,300,100
round_queries,3500,3600,9200,14700,33900,75300,125000,284200,621800,1346200,4106100,10356300,8900300
round_k,0,4,11,24,56,125,312,710,1554,3365,6843,17260,44501
round_shots,3600,500,200,300,300,400,400,200,200,300,300,200,100
round_queries,3600,4500,5000,15300,32100,86800,222000,236200,478200,1509900,3965700,6809400,7839900
round_k,0,4,12,25,53,108,277,590,1195,2516,6609,17023,39199
round_shots,4000,500,400,300,300,300,200,200,300,200,200,200,100
round_queries,4000,4500,9200,14700,31500,83100,147800,323400,1055100,1695000,3534200,7739800,8830100
round_k,0,4,11,24,52,138,369,808,1758,4237,8835,19349,44150
round_shots,2700,400,400,400,300,300,300,200,200,200,300,300,300
round_queries,2700,1200,3600,9200,14700,36300,85500,139400,313000,686200,2355300,6125100,13616700
round_k,0,1,4,11,24,60,142,348,782,1715,3925,10208,22694
round_shots,3900,400,300,300,300,300,200,200,200,200,200,200,100
round_queries,3900,3600,7500,17100,36900,89100,145800,314600,634600,1376600,3135800,7147800,7765500
round_k,0,4,12,28,61,148,364,786,1586,3441,7839,17869,38827
round_shots,3300,400,300,200,300,200,200,200,200,200,200,200,200
round_queries,3300,2800,5100,8200,27300,47800,95800,214600,451000,946200,2003400,4407800,9839800
round_k,0,3,8,20,45,119,239,536,1127,2365,5008,11019,24599
round_shots,3900,400,300,300,200,300,200,200,400,300,300,300,100
round_queries,3900,2800,5100,12300,21400,68700,118200,262600,1095600,1994100,5343900,13979700,9652500
round_k,0,3,8,20,53,114,295,656,1369,3323,8906,23299,48262
round_shots,3400,300,300,500,200,400,300,200,200,300,300,200,100
round_queries,3400,2100,5100,19500,16200,70800,123900,226600,497000,1629900,3921900,6491000,7223500
round_k,0,3,8,19,40,88,206,566,1242,2716,6536,16227,36117
round_shots,2100,400,400,400,300,300,300,200,200,200,200,200,200
round_queries,2100,2800,6800,15600,26700,62100,141300,203800,447400,958200,2149000,4639000,10642200
round_k,0,3,8,19,44,103,235,509,1118,2395,5372,11597,26605
round_shots,2600,400,300,300,300,300,300,200,200,200,200,200,200
round_queries,2600,2800,5100,11700,24300,60900,132900,200200,429400,957400,2168200,4972600,10721400
round_k,0,3,8,19,40,101,221,500,1073,2393,5420,12431,26803
round_shots,3100,400,200,300,400,400,300,400,300,300,200,200,200
round_queries,3100,3600,5000,15300,42800,100400,199500,546800,861300,1903500,2968600,6229000,14217800
round_k,0,4,12,25,53,125,332,683,1435,3172,7421,15572,35544
round_shots,3600,400,300,300,200,200,200,200,200,200,200,200,200
round_queries,3600,2800,5100,12300,17800,35800,78200,159800,347400,794200,1781000,4025000,9107000
round_k,0,3,8,20,44,89,195,399,868,1985,4452,10062,22767
round_shots,3300,400,300,500,500,200,200,200,200,200,200,200,200
round_queries,3300,2800,5100,19500,41500,43800,87800,188600,408200,931800,2059000,4591000,9839400
round_k,0,3,8,19,41,109,219,471,1020,2329,5147,11477,24598
round_shots,4100,400,200,300,300,300,200,200,300,200,200,200
