round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,3900,14500,59300,267500,1373700,7046900
round_k,0,1,6,19,72,296,1337,6868,35234
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3300,9100,18300,69300,316100,1571700,8068500
round_k,0,1,5,16,45,91,346,1580,7858,40342
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,900,3300,28200,98100,470100,2363700
round_k,0,1,4,16,70,490,2350,11818
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,21100,68700,337100,1626100,8123100
round_k,0,1,4,20,105,343,1685,8130,40615
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,3100,10100,20500,65300,294500,1483500,7618500
round_k,0,1,3,15,50,102,326,1472,7417,38092
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,900,3500,28600,99500,487700,2448900
round_k,0,1,4,17,71,497,2438,12244
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,7100,32300,90100,199700,840300,4286700
round_k,0,1,7,35,161,450,998,4201,21433
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3700,11900,56900,291900,1444100,7392300
round_k,0,1,5,18,59,284,1459,7220,36961
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,1300,5900,43800,145100,713500,3648500
round_k,0,1,6,29,109,725,3567,18242
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,4100,12300,24900,124500,605100,3087100
round_k,0,1,4,20,61,124,622,3025,15435
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5500,13700,56100,257100,1306500,6682700
round_k,0,1,6,27,68,280,1285,6532,33413
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,4300,8900,40300,175700,878900,4490300
round_k,0,1,7,21,44,201,878,4394,22451
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,19500,85900,420700,2156500
round_k,0,1,5,19,97,429,2103,10782
round_shots,100,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3100,12700,43100,98500,333900,1531900,7711500
round_k,0,1,4,15,63,215,492,1669,7659,38557
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,12100,48300,227700,1148500,5896100
round_k,0,1,5,19,60,241,1138,5742,29480
round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,1300,5500,29400,82500,395500,2033700
round_k,0,1,6,27,73,412,1977,10168
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,12300,24900,89300,405100,2077900
round_k,0,1,5,24,61,124,446,2025,10389
round_shots,100,100,100,100,100,100,100,100
round_queries,100,500,2100,7700,29900,142900,688900,3441300
round_k,0,2,10,38,149,714,3444,17206
round_shots,100,100,100,200,100,100,100,100
round_queries,100,300,1500,15400,46500,206100,1020300,5259500
round_k,0,1,7,38,232,1030,5101,26297
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,6700,16300,68500,294500,1464500,7514700
round_k,0,1,7,33,81,342,1472,7322,37573
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,14300,39900,127300,648900,3279700
round_k,0,1,4,17,71,199,636,3244,16398
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5500,25100,114700,254300,1126300,5059300
round_k,0,1,5,27,125,573,1271,5631,25296
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,5300,14700,58700,247700,1241300,6374700
round_k,0,1,7,26,73,293,1238,6206,31873
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,6300,20500,44100,158300,719700,3607700
round_k,0,1,6,31,102,220,791,3598,18038
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2900,10300,36900,167300,830700,4271300
round_k,0,1,4,14,51,184,836,4153,21356
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4300,13900,49900,235300,1212900,6200100
round_k,0,1,6,21,69,249,1176,6064,31000
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,500,1700,6900,20700,45700,145700,679500,3383500
round_k,0,2,8,34,103,228,728,3397,16917
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,3500,13500,29900,119500,536300,2702900
round_k,0,1,4,17,67,149,597,2681,13514
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,8100,36700,156700,774900,3952100
round_k,0,1,5,19,40,183,783,3874,19760
round_shots,100,100,100,100,100,200,100,100,100
round_queries,100,300,1100,4100,13900,143400,433300,1840700,9057100
round_k,0,1,5,20,69,358,2166,9203,45285
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,18300,64900,174700,754300,3755100
round_k,0,1,5,23,91,324,873,3771,18775
round_shots,100,100,100,100,100,200,100,100
round_queries,100,300,900,4500,21700,177800,571300,2617900
round_k,0,1,4,22,108,444,2856,13089
round_shots,100,100,100,100,200,100,100,100,100
round_queries,100,300,1100,3900,18600,52900,227300,1144300,5889500
round_k,0,1,5,19,46,264,1136,5721,29447
round_shots,100,100,100,100,100,200,100,100,100
round_queries,100,300,900,4100,14500,75400,208500,880500,4446500
round_k,0,1,4,20,72,188,1042,4402,22232
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,10500,37700,192300,951500,4890300
round_k,0,1,5,19,52,188,961,4757,24451
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4900,16500,64100,300500,1541300,7927700
round_k,0,1,6,24,82,320,1502,7706,39638
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4700,18300,43100,190900,861500,4336700
round_k,0,1,5,23,91,215,954,4307,21683
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,700,2300,7700,37700,169100,859700,4408900
round_k,0,1,3,11,38,188,845,4298,22044
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5300,14700,66700,304300,1513100,7771900
round_k,0,1,6,26,73,333,1521,7565,38859
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5300,19700,101500,416300,845100,3377900
round_k,0,1,6,26,98,507,2081,4225,16889
round_shots,100,100,100,100,100,200,100,100,100
round_queries,100,300,900,4300,17500,77400,223700,1078500,5505500
round_k,0,1,4,21,87,193,1118,5392,27527
round_shots,100,100,100,100,200,100,100,100,100
round_queries,100,300,900,2700,25800,75500,334700,1724500,8791500
round_k,0,1,4,13,64,377,1673,8622,43957
round_shots,100,100,100,100,200,100,100,100,100
round_queries,100,300,1100,4500,25800,72300,364100,1856300,9509100
