round_queries,200,600,1800,2900,8900,27500,102700,421700,9825700
round_k,1,4,14,44,137,513,2108,9473,49128
round_shots,100,200,200,200,100,100,100,100
round_queries,100,600,1800,7000,15900,58100,223500,4640100
round_k,1,4,17,79,290,1117,4819,23200
round_shots,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,5400,11300,38900,146500,607900,15218300
round_k,1,4,13,56,194,732,3039,14131,76091
round_shots,200,200,200,100,200,100,100,100,100
round_queries,200,600,1800,2700,17400,35700,111300,462300,6557700
round_k,1,4,13,43,178,556,2311,7279,32788
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3900,12900,38700,129500,506100,11760100
round_k,1,4,19,64,193,647,2530,11225,58800
round_shots,100,200,200,200,100,100,100,100,100
round_queries,100,600,1800,5400,11100,37900,145100,598900,15173100
round_k,1,4,13,55,189,725,2994,14036,75865
round_shots,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,5400,9100,28500,104300,425700,9927100
round_k,1,4,13,45,142,521,2128,9686,49635
round_shots,200,200,200,200,200,100,100,100
round_queries,200,600,1800,5400,20200,46500,181500,3584700
round_k,1,4,13,50,232,907,3811,17923
round_shots,200,200,200,200,100,100,100,100
round_queries,200,600,1800,7000,16100,57100,226100,4696100
round_k,1,4,17,80,285,1130,4909,23480
round_shots,100,200,200,200,100,100,100,100,100
round_queries,100,600,1800,6600,13100,41900,154300,651500,16569900
round_k,1,4,16,65,209,771,3257,15231,82849
round_shots,200,200,100,200,100,100,100,100,100
round_queries,200,600,900,5400,10900,35900,134900,553100,13494700
round_k,1,4,13,54,179,674,2765,12771,67473
round_shots,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,5800,12700,41700,160300,666500,17059500
round_k,1,4,14,63,208,801,3332,15683,85297
round_shots,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,5400,11500,41700,154300,649500,16399900
round_k,1,4,13,57,208,771,3247,15127,81999
round_shots,200,200,200,200,100,100,100,100
round_queries,200,600,1800,7000,15700,53700,212700,4453300
round_k,1,4,17,78,268,1063,4587,22266
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3300,10700,34500,123300,505100,12078700
round_k,1,4,16,53,172,616,2525,11493,60393
round_shots,200,200,100,100,100,100,100,100,100
round_queries,200,600,900,2700,8300,27300,102900,415100,9627900
round_k,1,4,13,41,136,514,2075,9367,48139
round_shots,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,6600,12700,43100,164100,681100,17526300
round_k,1,4,16,63,215,820,3405,16051,87631
round_shots,100,200,200,200,100,100,100,100,100
round_queries,100,600,1800,5400,9500,30100,113900,465900,10921500
round_k,1,4,13,47,150,569,2329,10562,54607
round_shots,200,100,200,200,100,100,100,100,100
round_queries,200,300,1800,6600,13100,44500,165700,696500,18007700
round_k,1,4,16,65,222,828,3482,16434,90038
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,2200,3500,10700,35300,129100,531100,13014100
round_k,1,5,17,53,176,645,2655,12227,65070
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3500,11700,39700,150500,622500,15703500
round_k,1,4,17,58,198,752,3112,14481,78517
round_shots,200,100,200,200,100,100,100,100
round_queries,200,300,1800,7000,14100,49900,192900,3864700
round_k,1,4,17,70,249,964,4048,19323
round_shots,100,100,200,200,200,100,100,100,100
round_queries,100,300,1800,5400,17400,36700,139100,575500,14265900
round_k,1,4,13,43,183,695,2877,13334,71329
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,2700,8300,27500,98500,395900,9094300
round_k,1,4,13,41,137,492,1979,8870,45471
round_shots,200,100,200,200,100,100,100,100,100
round_queries,200,300,1800,5800,11700,38900,148900,621500,15424700
round_k,1,4,14,58,194,744,3107,14454,77123
round_shots,200,200,200,200,100,100,100,100
round_queries,200,600,1800,7800,18100,60500,214500,4420900
round_k,1,4,19,90,302,1072,4594,22104
round_shots,200,200,200,200,100,100,100,100
round_queries,200,600,1800,7000,14700,51700,199100,4065500
round_k,1,4,17,73,258,995,4239,20327
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,900,2700,8900,27900,104100,429100,9959300
round_k,1,4,13,44,139,520,2145,9606,49796
round_shots,200,100,200,200,100,100,100,100,100
round_queries,200,300,1800,6600,13100,42900,162500,687100,17665500
round_k,1,4,16,65,214,812,3435,16135,88327
round_shots,200,200,200,200,200,100,100,100
round_queries,200,600,1800,5400,25000,60700,235100,4895700
round_k,1,4,13,62,303,1175,5007,24478
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3500,11500,41300,155700,652700,16762700
round_k,1,4,17,57,206,778,3263,15373,83813
round_shots,200,100,200,200,100,100,100,100
round_queries,200,300,1800,8200,19300,69300,272300,5872300
round_k,1,4,20,96,346,1361,5977,29361
round_shots,200,100,200,200,100,100,100,100,100
round_queries,200,300,1800,5400,9300,31700,119300,488500,11805300
round_k,1,4,13,46,158,596,2442,11175,59026
round_shots,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,5800,10900,37900,140900,573900,14283100
round_k,1,4,14,54,189,704,2869,13337,71415
round_shots,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,3500,10500,33500,119100,487900,11656700
round_k,1,4,17,52,167,595,2439,11092,58283
round_shots,200,200,200,200,100,100,100,100,100
