round_queries,200,600,1800,3300,10300,33500,117500,446100,1828900,43794300
round_k,1,4,16,51,167,587,2230,9144,41734,218971
round_shots,100,200,200,200,200,100,100,100,100,100
round_queries,100,600,1800,5400,22600,49300,173100,672100,2860300,74781100
round_k,1,4,13,56,246,865,3360,14301,67847,373905
round_shots,100,200,200,200,100,100,100,100,100,100
round_queries,100,600,1800,7000,14500,44700,158100,604500,2540500,64627300
round_k,1,4,17,72,223,790,3022,12702,59392,323136
round_shots,100,200,300,200,100,100,100,100,100,100
round_queries,100,600,2700,8200,15300,50900,179700,682300,2883500,75854500
round_k,1,4,20,76,254,898,3411,14417,68422,379272
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,7000,13500,44500,157300,609500,2568900,65844100
round_k,1,4,17,67,222,786,3047,12844,60467,329220
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,6600,14500,45500,161300,617900,2587500,66252700
round_k,1,4,16,72,227,806,3089,12937,60667,331263
round_shots,200,200,200,100,200,100,100,100,100,100
round_queries,200,600,1800,2900,17400,40700,145300,557300,2318500,58076500
round_k,1,4,14,43,203,726,2786,11592,53923,290382
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,5800,12300,39500,139500,525500,2183700,54029100
round_k,1,4,14,61,197,697,2627,10918,50458,270145
round_shots,100,200,200,200,100,100,100,100,100,100
round_queries,100,600,1800,7000,13500,42900,149700,566500,2322100,57474500
round_k,1,4,17,67,214,748,2832,11610,53676,287372
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,5400,8700,26300,89100,321100,1293300,28997900
round_k,1,4,13,43,131,445,1605,6466,28619,144989
round_shots,200,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,5400,21800,49900,177500,678700,2854500,73537100
round_k,1,4,13,54,249,887,3393,14272,67641,367685
round_shots,300,200,200,100,100,100,100,100,100,100
round_queries,300,600,1800,3500,11100,35100,121900,458500,1892900,45548900
round_k,1,4,17,55,175,609,2292,9464,43317,227744
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,5800,12900,42100,147100,567900,2367300,59442100
round_k,1,4,14,64,210,735,2839,11836,55188,297210
round_shots,100,300,100,100,200,100,100,100,100,100
round_queries,100,900,900,2700,16200,37500,129500,495700,2070500,50597900
round_k,1,4,13,40,187,647,2478,10352,47825,252989
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,6600,14500,48900,173300,665500,2831700,74253100
round_k,1,4,16,72,244,866,3327,14158,67168,371265
round_shots,200,300,200,200,100,100,100,100,100,100
round_queries,200,900,1800,7000,13500,43500,153100,582700,2440900,61877900
round_k,1,4,17,67,217,765,2913,12204,57032,309389
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,7000,14700,47500,169100,648100,2725100,70624900
round_k,1,4,17,73,237,845,3240,13625,64449,353124
round_shots,200,200,200,100,200,100,100,100,100,100
round_queries,200,600,1800,2900,17400,37100,131300,499300,2082100,51267300
round_k,1,4,14,43,185,656,2496,10410,48204,256336
round_shots,200,300,200,200,100,100,100,100,100
round_queries,200,900,2200,8600,16700,54500,195700,756900,15468700
round_k,1,5,21,83,272,978,3784,16139,77343
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,7000,12900,39700,138700,520700,2179300,53692300
round_k,1,4,17,64,198,693,2603,10896,50324,268461
round_shots,200,300,200,200,100,100,100,100,100,100
round_queries,200,900,1800,5800,11500,36100,123900,462100,1903700,45370300
round_k,1,4,14,57,180,619,2310,9518,43579,226851
round_shots,300,200,300,200,100,100,100,100,100,100
round_queries,300,600,2700,7000,14900,48300,172700,665900,2818100,73437700
round_k,1,4,17,74,241,863,3329,14090,66553,367188
round_shots,100,200,100,200,100,100,100,100,100,100
round_queries,100,600,900,5400,11900,38500,125100,459300,1900700,45770300
round_k,1,4,13,59,192,625,2296,9503,43484,228851
round_shots,200,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,5400,19400,44100,152300,589300,2475900,62708100
round_k,1,4,13,48,220,761,2946,12379,57845,313540
round_shots,100,200,200,200,100,100,100,100,100,100
round_queries,100,600,1800,5400,10100,33700,120900,453700,1864300,44711300
round_k,1,4,13,50,168,604,2268,9321,42505,223556
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,5400,8100,25500,89700,337100,1352100,30585300
round_k,1,4,13,40,127,448,1685,6760,30213,152926
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,7000,14900,47300,163300,632900,2678500,68764300
round_k,1,4,17,74,236,816,3164,13392,62933,343821
round_shots,100,200,200,100,100,100,100,100,100,100
round_queries,100,600,1800,3500,10500,31900,109900,415500,1695100,39799900
round_k,1,4,17,52,159,549,2077,8475,38416,198999
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,6600,10700,35900,125300,480500,1976900,47644900
round_k,1,4,16,53,179,626,2402,9884,45215,238224
round_shots,200,200,200,100,100,100,100,100,100,100
round_queries,200,600,1800,3900,12300,37700,135100,513500,2121700,52453300
round_k,1,4,19,61,188,675,2567,10608,49202,262266
round_shots,200,200,200,100,100,100,100,100,100,100
round_queries,200,600,1800,3500,10900,32900,112900,422500,1707500,40218100
round_k,1,4,17,54,164,564,2112,8537,38704,201090
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,7000,15100,49700,177700,689100,2930100,77152500
round_k,1,4,17,75,248,888,3445,14650,69713,385762
round_shots,200,200,200,100,100,100,100,100,100,100
round_queries,200,600,1800,3300,9900,29700,94300,341500,1382300,31307100
round_k,1,4,16,49,148,471,1707,6911,30873,156535
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,5800,11700,38900,138700,521100,2165100,53700500
round_k,1,4,14,58,194,693,2605,10825,50221,268502
round_shots,200,200,200,100,100,100,100,100,100,100
round_queries,200,600,1800,2900,8700,28700,97100,357900,1454300,33109500
round_k,1,4,14,43,143,485,1789,7271,32491,165547
round_shots,100,200,200,200,200,100,100,100,100,100
round_queries,100,600,1800,5400,23800,47100,170100,646700,2734100,70281900
round_k,1,4,13,59,235,850,3233,13670,64531,351409
round_shots,200,200,200,200,100,100,100,100,100,100
round_queries,200,600,1800,6600,12100,36300,128500,481500,1976100,48040500
round_k,1,4,16,60,181,642,2407,9880,45415,240202
round_shots,100,200,200,200,100,100,100,100,100,100
round_queries,100,600,1800,5800,12900,41100,140700,538100,2254700,56403900
round_k,1,4,14,64,205,703,2690,11273,52573,282019
round_shots,200,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,6600,21400,45700,158700,613700,2574100,65562700
round_k,1,4,16,53,228,793,3068,12870,60601,327813
round_shots,200,200,200,200,200,100,100,100,100,100
round_queries,200,600,1800,5400,17400,37900,131300,499900,2068900,50767100
round_k,1,4,13,43,189,656,2499,10344,47780,253835
