round_shots,100,100,100,100,200,100,100,100
round_queries,100,300,1300,5500,34200,100300,456500,2330100
round_k,0,1,6,27,85,501,2282,11650
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3300,15900,72500,155900,606900,2769300
round_k,0,1,5,16,79,362,779,3034,13846
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,3900,9300,20500,77700,358300,1842300
round_k,0,1,6,19,46,102,388,1791,9211
round_shots,100,100,100,200,100,100,100,100
round_queries,100,300,1100,9400,30100,144300,738300,3790300
round_k,0,1,5,23,150,721,3691,18951
round_shots,100,100,100,100,200,100,100,100,100
round_queries,100,300,1300,4500,21000,59700,295900,1498500,7680700
round_k,0,1,6,22,52,298,1479,7492,38403
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,4700,9500,47700,208100,1045300,5340700
round_k,0,1,6,23,47,238,1040,5226,26703
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3900,15100,58700,270700,1375100,7066300
round_k,0,1,5,19,75,293,1353,6875,35331
round_shots,100,100,100,100,100,100,100,100
round_queries,100,500,1500,6300,27900,119900,607100,3124700
round_k,0,2,7,31,139,599,3035,15623
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1500,4300,10100,37100,165500,828900,4240100
round_k,0,1,7,21,50,185,827,4144,21200
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5300,21700,73700,163300,570100,2731900
round_k,0,1,5,26,108,368,816,2850,13659
round_shots,100,100,100,100,200,100,100,100,100
round_queries,100,300,900,3500,14600,44100,204500,1011700,5114700
round_k,0,1,4,17,36,220,1022,5058,25573
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,3300,10700,21700,73500,331700,1659100
round_k,0,1,5,16,53,108,367,1658,8295
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,500,1700,4300,10300,46700,219100,1103500,5646500
round_k,0,2,8,21,51,233,1095,5517,28232
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1100,5300,19700,78700,376300,1927500
round_k,0,1,5,26,98,393,1881,9637
round_shots,100,100,100,100,100,100,100,100
round_queries,100,300,1500,5300,26500,118100,589900,3008900
round_k,0,1,7,26,132,590,2949,15044
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1300,5900,17700,72500,297300,1402100,7157500
round_k,0,1,6,29,88,362,1486,7010,35787
round_shots,100,100,100,100,200,100,100,100,100
round_queries,100,300,900,4300,20600,65100,303500,1516500,7760500
round_k,0,1,4,21,51,325,1517,7582,38802
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4900,13100,48300,218300,1083900,5526700
round_k,0,1,5,24,65,241,1091,5419,27633
round_shots,100,100,100,100,100,100,100,100,100
round_queries,100,300,1100,4500,13900,68100,287500,1433100,7269500
round_k,0,1,5,22,69,340,1437,7165,36347
